#Kurszusatz G: Geld, Kauf>Verkauf;  B: Brief, Kauf<Verkauf;  b: bezahlt, Kauf=Verkauf, T: Taxe, Keine Buy/Sell Order
#Differenz        = Kurs - InnererWert
#DifferenzProzent = (Kurs - InnererWert)*100 / InnererWert 
# AVG: Average 
# NPBW_NP: Not Performed Buy Wish at new Price  = BuyWish at NewPrice - PerformedWish
# NPSW_NP: Not Performed Sell Wish at new Price = SellWish at NewPrice - PerformedWish
# NPBW_NP and NPSW_NP will not get minus value. Minial value is 0.
# 
# NPBW_ALL: Not Performed Buy Wish total = Total BuyWish - PerformedWish
# NPSW_ALL: Not Performed Sell Wish total = Total SellWish - PerformedWish 
#Handeltag;Preis;Kurszusatz;Umsatz;TradeVolume;InnererWert;Differ;DifferProzent;HighestBuyLimit;LowestSellLimit;Differ;DifferProzent;Average;AVGDeviation_BuyLimit;AVGDeviation_SellLimit;MengeAtHighestBuyLimit;VolumeAtHighestBuyLimit;MengeAtLowestSellLimit;VolumeAtLowestSellLimit;Umsatz;TradeVolume;NPBW_NEWPRICE;NPSW_NEWPRICE;NPBW_ALL;NPSW_ALL;
1;988,00;B;5.0;4940.0;1000,00;-12,00;-1,00;990,00;872,00;118,00;13,5321;931,00;12,50;128,1429;4,00;3960,00;3,00;2616,00;5.0;4940.0;0,00;0,00;65,00;65,00;
2;987,00;B;5.0;4935.0;957,00;30,00;3,00;993,00;873,00;120,00;13,7457;933,00;-2,1176;123,5769;1,00;993,00;2,00;1746,00;5.0;4935.0;0,00;0,00;65,00;65,00;
3;983,00;B;2.0;1966.0;912,00;71,00;8,00;984,00;838,00;146,00;17,4224;911,00;-13,84;116,6471;1,00;984,00;1,00;838,00;2.0;1966.0;0,00;0,00;68,00;68,00;
4;973,00;B;3.0;2919.0;951,00;22,00;2,00;973,00;919,00;54,00;5,876;946,00;-86,6667;22,8065;3,00;2919,00;2,00;1838,00;3.0;2919.0;0,00;0,00;67,00;67,00;
5;973,00;T;0.0;0.0;924,00;49,00;5,00;945,00;959,00;-14,00;-1,4599;952,00;-54,2727;48,2759;0,00;0,00;0,00;0,00;0.0;0.0;0,00;0,00;70,00;70,00;
6;973,00;B;3.0;2919.0;887,00;86,00;10,00;973,00;932,00;41,00;4,3991;952,50;-84,9783;27,9167;3,00;2919,00;2,00;1864,00;3.0;2919.0;0,00;0,00;67,00;67,00;
7;973,00;T;0.0;0.0;940,00;33,00;4,00;879,00;891,00;-12,00;-1,3468;885,00;-48,20;58,1935;0,00;0,00;0,00;0,00;0.0;0.0;0,00;0,00;70,00;70,00;
8;952,00;B;3.0;2856.0;916,00;36,00;4,00;1056,00;943,00;113,00;11,983;999,50;-116,7593;-3,8333;3,00;3168,00;2,00;1886,00;3.0;2856.0;0,00;1,00;67,00;67,00;
9;905,00;G;1.0;905.0;923,00;-18,00;-2,00;905,00;798,00;107,00;13,4085;851,50;7,9815;114,3148;1,00;905,00;1,00;798,00;1.0;905.0;0,00;0,00;69,00;69,00;
10;897,00;G;1.0;897.0;893,00;4,00;0,00;897,00;788,00;109,00;13,8325;842,50;5,5417;106,3333;1,00;897,00;1,00;788,00;1.0;897.0;0,00;0,00;69,00;69,00;
11;867,00;G;3.0;2601.0;940,00;-73,00;-8,00;867,00;763,00;104,00;13,6304;815,00;7,4091;108,6071;3,00;2601,00;3,00;2289,00;3.0;2601.0;0,00;0,00;67,00;67,00;
12;868,00;G;60.0;52080.0;957,00;-89,00;-9,00;1038,00;868,00;170,00;19,5853;953,00;-115,7143;23,12;1,00;1038,00;60,00;52080,00;60.0;52080.0;0,00;0,00;10,00;10,00;
13;872,00;G;120.0;104640.0;985,00;-113,00;-11,00;1060,00;868,00;192,00;22,1198;964,00;-128,2222;28,1852;1,00;1060,00;20,00;17360,00;120.0;104640.0;0,00;0,00;-50,00;-50,00;
14;901,00;B;139.0;125239.0;972,00;-71,00;-7,00;960,00;839,00;121,00;14,4219;899,50;-45,0714;125,9583;2,00;1920,00;1,00;839,00;139.0;125239.0;0,00;0,00;-69,00;-69,00;
15;895,00;B;79.0;70705.0;998,00;-103,00;-10,00;944,00;828,00;116,00;14,0097;886,00;-26,0833;120,4074;2,00;1888,00;2,00;1656,00;79.0;70705.0;0,00;0,00;-9,00;-9,00;
16;903,00;G;142.0;128226.0;1001,00;-98,00;-10,00;973,00;854,00;119,00;13,9344;913,50;-49,2143;122,6071;2,00;1946,00;2,00;1708,00;142.0;128226.0;0,00;0,00;-72,00;-72,00;
17;922,00;G;67.0;61774.0;966,00;-44,00;-5,00;971,00;904,00;67,00;7,4115;937,50;-70,50;102,7174;4,00;3884,00;5,00;4520,00;67.0;61774.0;0,00;0,00;73,00;3,00;
18;934,00;G;35.0;32690.0;960,00;-26,00;-3,00;1091,00;922,00;169,00;18,3297;1006,50;-123,00;18,6154;2,00;2182,00;5,00;4610,00;35.0;32690.0;0,00;0,00;35,00;35,00;
19;941,00;B;12.0;11292.0;993,00;-52,00;-5,00;952,00;934,00;18,00;1,9272;943,00;-48,6667;73,75;2,00;1904,00;3,00;2802,00;12.0;11292.0;0,00;0,00;58,00;58,00;
20;961,00;G;21.0;20181.0;959,00;2,00;0,00;983,00;935,00;48,00;5,1337;959,00;-57,3846;87,8462;2,00;1966,00;3,00;2805,00;21.0;20181.0;0,00;0,00;49,00;49,00;
21;970,00;B;3.0;2910.0;1001,00;-31,00;-3,00;970,00;961,00;9,00;0,9365;965,50;-66,5385;56,50;3,00;2910,00;1,00;961,00;3.0;2910.0;0,00;0,00;67,00;67,00;
