#Handeltag;Investor;NoiseTrader;BlankoAgent;Investor->NoiseTrader;NoiseTrader->Investor;TotalChanges;
0;7;7;86;0;0;0;
1;7;7;86;0;0;0;
2;7;7;86;0;0;0;
3;7;7;86;0;0;0;
4;7;7;86;0;0;0;
5;7;7;86;0;0;0;
6;7;7;86;0;0;0;
7;7;7;86;0;0;0;
8;7;7;86;0;0;0;
9;7;7;86;0;0;0;
10;7;7;86;0;0;0;
11;7;7;86;0;0;0;
12;7;7;86;0;0;0;
13;7;7;86;0;0;0;
14;7;7;86;0;0;0;
15;7;7;86;0;0;0;
16;7;7;86;0;0;0;
17;7;7;86;0;0;0;
18;7;7;86;0;0;0;
19;7;7;86;0;0;0;
20;7;7;86;0;0;0;
21;7;7;86;0;0;0;
22;7;7;86;0;0;0;
23;7;7;86;0;0;0;
24;7;7;86;0;0;0;
25;7;8;85;1;0;1;
26;7;10;83;2;0;2;
27;7;11;82;1;0;1;
28;8;11;81;1;0;1;
29;8;11;81;0;0;0;
30;8;13;79;2;0;2;
31;8;15;77;2;0;2;
32;9;16;75;2;0;2;
33;9;21;70;5;0;5;
34;9;22;69;1;0;1;
35;9;25;66;3;0;3;
36;10;26;64;2;0;2;
37;10;28;62;2;0;2;
38;10;30;60;2;0;2;
39;10;33;57;3;0;3;
40;10;37;53;4;0;4;
41;11;39;50;3;0;3;
42;12;39;49;1;0;1;
43;12;40;48;1;0;1;
44;12;40;48;0;0;0;
45;12;40;48;0;0;0;
46;12;42;46;2;0;2;
47;12;43;45;1;0;1;
48;12;43;45;0;0;0;
49;12;43;45;0;0;0;
50;12;43;45;0;0;0;
51;12;43;45;0;0;0;
52;12;43;45;0;0;0;
53;12;43;45;0;0;0;
54;12;43;45;0;0;0;
55;12;43;45;0;0;0;
56;12;43;45;0;0;0;
57;12;43;45;0;0;0;
58;12;43;45;0;0;0;
59;13;42;45;1;0;1;
60;13;42;45;0;0;0;
61;13;42;45;0;0;0;
62;12;40;48;2;1;3;
63;12;40;48;0;0;0;
64;12;39;49;1;0;1;
65;12;38;50;1;0;1;
66;12;38;50;0;0;0;
67;12;37;51;1;0;1;
68;12;37;51;0;0;0;
69;12;37;51;0;0;0;
70;14;37;49;2;0;2;
71;14;37;49;0;0;0;
72;14;37;49;0;0;0;
73;14;37;49;0;0;0;
74;14;37;49;0;0;0;
75;14;37;49;0;0;0;
76;14;37;49;0;0;0;
77;14;37;49;0;0;0;
78;14;37;49;0;0;0;
79;14;37;49;0;0;0;
80;14;37;49;0;0;0;
81;14;37;49;0;0;0;
82;14;37;49;0;0;0;
83;14;37;49;0;0;0;
84;14;37;49;0;0;0;
85;14;37;49;0;0;0;
86;14;37;49;0;0;0;
87;16;36;48;2;0;2;
88;16;36;48;0;0;0;
89;16;37;47;1;0;1;
90;17;38;45;2;0;2;
91;17;40;43;2;0;2;
92;18;41;41;2;0;2;
93;19;41;40;2;0;2;
94;19;44;37;3;0;3;
95;18;46;36;1;1;2;
96;18;47;35;1;0;1;
97;19;47;34;1;0;1;
98;19;48;33;1;1;2;
99;19;48;33;0;0;0;
100;20;48;32;1;0;1;
101;20;48;32;0;0;0;
102;22;47;31;2;0;2;
103;21;48;31;0;1;1;
104;21;48;31;0;0;0;
105;21;48;31;0;0;0;
106;21;48;31;0;0;0;
107;22;47;31;1;0;1;
108;22;48;30;1;0;1;
109;22;48;30;0;0;0;
110;21;49;30;0;1;1;
111;21;49;30;0;0;0;
112;21;49;30;0;0;0;
113;21;49;30;0;0;0;
114;20;50;30;0;1;1;
115;20;50;30;0;0;0;
116;20;50;30;0;0;0;
117;20;50;30;0;0;0;
118;20;50;30;0;0;0;
119;20;50;30;0;0;0;
120;20;50;30;0;0;0;
121;20;50;30;0;0;0;
122;21;50;29;1;0;1;
123;21;50;29;0;0;0;
124;21;50;29;0;0;0;
125;21;50;29;0;0;0;
126;21;51;28;1;0;1;
127;21;51;28;0;0;0;
128;22;50;28;1;0;1;
129;22;50;28;0;0;0;
130;22;51;27;1;0;1;
131;22;51;27;0;0;0;
132;22;52;26;1;0;1;
133;22;53;25;1;0;1;
134;22;53;25;0;0;0;
135;22;55;23;2;0;2;
136;22;56;22;1;0;1;
137;22;57;21;2;1;3;
138;22;58;20;1;0;1;
139;23;58;19;1;0;1;
140;23;60;17;2;0;2;
141;23;60;17;0;0;0;
142;23;60;17;0;0;0;
143;23;62;15;2;0;2;
144;23;63;14;1;0;1;
145;23;63;14;0;0;0;
146;23;63;14;0;0;0;
147;23;64;13;1;0;1;
148;23;64;13;0;0;0;
149;23;64;13;0;0;0;
150;23;64;13;0;0;0;
151;24;63;13;1;0;1;
152;25;62;13;1;0;1;
153;26;61;13;1;0;1;
154;27;60;13;1;0;1;
155;29;58;13;2;0;2;
156;30;53;17;5;0;5;
157;29;51;20;2;1;3;
158;28;40;32;11;2;13;
159;27;36;37;4;2;6;
160;28;35;37;1;0;1;
161;26;31;43;4;2;6;
162;20;24;56;7;6;13;
163;17;17;66;7;3;10;
164;13;12;75;5;4;9;
165;13;12;75;0;0;0;
166;13;12;75;0;0;0;
167;13;12;75;0;0;0;
168;10;10;80;2;3;5;
169;10;10;80;0;0;0;
170;10;10;80;0;0;0;
171;10;10;80;0;0;0;
172;10;10;80;0;0;0;
173;10;10;80;0;0;0;
174;10;10;80;0;0;0;
175;10;10;80;0;0;0;
176;10;10;80;0;0;0;
177;10;10;80;0;0;0;
178;10;10;80;0;0;0;
179;10;10;80;0;0;0;
180;10;10;80;0;0;0;
181;10;10;80;0;0;0;
182;10;10;80;0;0;0;
183;10;10;80;0;0;0;
184;10;10;80;0;0;0;
185;10;10;80;0;0;0;
186;10;10;80;0;0;0;
187;10;10;80;0;0;0;
188;10;10;80;0;0;0;
189;10;10;80;0;0;0;
190;10;11;79;1;0;1;
191;10;11;79;0;0;0;
192;11;11;78;1;0;1;
193;11;12;77;1;0;1;
194;11;12;77;0;0;0;
195;11;12;77;0;0;0;
196;11;12;77;0;0;0;
197;11;12;77;0;0;0;
198;11;12;77;0;0;0;
199;11;13;76;1;0;1;
200;11;13;76;0;0;0;
201;11;13;76;0;0;0;
202;11;13;76;0;0;0;
203;11;13;76;0;0;0;
204;11;13;76;0;0;0;
205;11;13;76;0;0;0;
206;11;13;76;0;0;0;
207;11;14;75;1;0;1;
208;11;14;75;0;0;0;
209;11;14;75;0;0;0;
210;11;15;74;1;0;1;
211;11;15;74;0;0;0;
212;11;16;73;1;0;1;
213;11;16;73;0;0;0;
214;11;16;73;0;0;0;
215;11;16;73;0;0;0;
216;11;16;73;0;0;0;
217;11;17;72;1;0;1;
218;11;17;72;0;0;0;
219;11;17;72;0;0;0;
220;11;17;72;0;0;0;
221;11;17;72;0;0;0;
222;11;17;72;0;0;0;
223;11;18;71;1;0;1;
224;11;19;70;1;0;1;
225;12;19;69;1;0;1;
226;13;21;66;3;0;3;
227;13;21;66;0;0;0;
228;14;21;65;1;0;1;
229;13;23;64;1;1;2;
230;14;23;63;1;0;1;
231;14;23;63;0;0;0;
232;14;27;59;4;0;4;
233;14;28;58;1;0;1;
234;14;29;57;1;0;1;
235;14;29;57;0;0;0;
236;14;29;57;0;0;0;
237;14;30;56;1;0;1;
238;15;33;52;4;0;4;
239;15;35;50;2;0;2;
240;15;35;50;0;0;0;
241;15;37;48;2;0;2;
242;15;37;48;0;0;0;
243;15;37;48;0;0;0;
244;15;37;48;0;0;0;
245;16;36;48;1;0;1;
246;16;36;48;0;0;0;
247;16;36;48;0;0;0;
248;16;36;48;0;0;0;
249;16;36;48;0;0;0;
250;16;36;48;0;0;0;
251;16;35;49;1;0;1;
252;16;35;49;0;0;0;
253;15;34;51;1;1;2;
254;15;33;52;1;0;1;
255;16;30;54;3;0;3;
256;16;26;58;4;0;4;
257;16;24;60;2;0;2;
258;16;24;60;0;0;0;
259;15;23;62;1;1;2;
260;14;19;67;4;1;5;
261;14;19;67;0;0;0;
262;14;19;67;0;0;0;
263;13;18;69;1;1;2;
264;13;18;69;0;0;0;
265;13;18;69;0;0;0;
266;13;18;69;0;0;0;
267;13;18;69;0;0;0;
268;13;18;69;0;0;0;
269;13;18;69;0;0;0;
270;13;18;69;0;0;0;
271;13;18;69;0;0;0;
272;13;18;69;0;0;0;
273;13;18;69;0;0;0;
274;13;18;69;0;0;0;
275;14;18;68;1;0;1;
276;14;19;67;1;0;1;
277;14;19;67;0;0;0;
278;14;20;66;1;0;1;
279;15;22;63;4;0;4;
280;15;22;63;0;0;0;
281;17;24;59;4;0;4;
