Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;0,00;0,2098;
2;0,00;0,2154;
3;0,00;0,2203;
4;0,00;0,1397;
5;0,00;0,12;
6;0,00;0,2001;
7;0,00;0,1214;
8;0,00;0,0219;
9;0,00;0,0926;
10;0,00;0,1116;
11;0,00;0,0398;
12;0,00;0,067;
13;0,00;0,0707;
14;0,00;0,0319;
15;0,00;0,0181;
16;-0,00;-0,0022;
17;-0,00;-0,0179;
18;-0,00;-0,0498;
19;0,00;0,0556;
20;-0,00;-0,0026;
21;-0,00;-0,0409;
22;0,00;0,0221;
23;-0,00;-0,029;
24;0,00;0,0203;
25;0,00;0,0456;
26;0,00;0,0174;
27;-0,00;-0,0279;
28;-0,00;-0,0036;
29;0,00;0,0412;
30;-0,00;-0,0375;
31;0,00;0,0057;
32;0,00;0,0213;
33;-0,00;-0,0101;
34;0,00;0,0991;
35;0,00;0,0468;
36;-0,00;-0,0061;
37;-0,00;-0,055;
38;0,00;0,0473;
39;0,00;0,0886;
40;-0,00;-0,0387;
41;-0,00;-0,063;
42;-0,00;-0,0283;
43;-0,00;-0,0802;
44;-0,00;-0,0529;
45;-0,00;-0,0686;
46;-0,00;-0,0909;
47;-0,00;-0,1237;
48;-0,00;-0,1057;
49;-0,00;-0,0774;
50;-0,00;-0,0662;
51;-0,00;-0,0416;
52;-0,00;-0,0347;
53;-0,00;-0,0564;
54;-0,00;-0,0399;
55;-0,00;-0,0843;
56;-0,00;-0,0007;
57;-0,00;-0,045;
58;-0,00;-0,0511;
59;-0,00;-0,0393;
60;-0,00;-0,0047;
61;-0,00;-0,0149;
62;-0,00;-0,0671;
63;0,00;0,0198;
64;-0,00;-0,0304;
65;-0,00;-0,0024;
66;0,00;0,0171;
67;-0,00;-0,0088;
68;-0,00;-0,0118;
69;0,00;0,0452;
70;-0,00;-0,0559;
71;-0,00;-0,0514;
72;-0,00;-0,0272;
73;0,00;0,0577;
74;-0,00;-0,0804;
75;-0,00;-0,0038;
76;-0,00;-0,006;
77;-0,00;-0,0387;
78;0,00;0,0484;
79;-0,00;-0,0028;
80;-0,00;-0,0061;
81;-0,00;-0,0453;
82;-0,00;-0,009;
83;-0,00;-0,0152;
84;-0,00;-0,0022;
85;0,00;0,0022;
86;-0,00;-0,0021;
87;-0,00;-0,0291;
88;0,00;0,0266;
89;0,00;0,0092;
90;0,00;0,0306;
91;0,00;0,047;
92;0,00;0,015;
93;0,00;0,0203;
94;0,00;0,0576;
95;0,00;0,129;
96;-0,00;-0,0051;
97;0,00;0,0757;
98;0,00;0,026;
99;0,00;0,0693;
100;0,00;0,0068;
101;-0,00;-0,0223;
102;-0,00;-0,0122;
103;-0,00;-0,033;
104;-0,00;-0,049;
105;0,00;0,0626;
106;-0,00;-0,0284;
107;0,00;0,0825;
108;0,00;0,0298;
109;-0,00;-0,0345;
110;0,00;0,0023;
111;0,00;0,046;
112;0,00;0,0018;
113;-0,00;-0,0604;
114;-0,00;-0,0284;
115;-0,00;-0,0434;
116;-0,00;-0,0552;
117;0,00;0,0396;
118;0,00;0,0101;
119;0,00;0,0027;
120;-0,00;-0,0101;
121;-0,00;-0,0466;
122;-0,00;-0,0265;
123;-0,00;-0,0061;
124;0,00;0,0014;
125;-0,00;-0,026;
126;-0,00;-0,0121;
127;-0,00;-0,0384;
128;-0,00;-0,063;
129;0,00;0,0117;
130;-0,00;-0,0247;
131;-0,00;-0,0859;
132;-0,00;-0,0037;
133;0,00;0,0191;
134;0,00;0,0188;
135;-0,00;-0,0864;
136;0,00;0,001;
137;-0,00;-0,058;
138;-0,00;-0,0646;
139;-0,00;-0,0244;
140;-0,00;-0,0443;
141;-0,00;-0,0306;
142;-0,00;-0,0652;
143;-0,00;-0,0539;
144;-0,00;-0,0327;
145;-0,00;-0,0462;
146;0,00;0,0347;
147;0,00;0,0164;
148;-0,00;-0,0529;
149;0,00;0,0006;
