#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 0.5
     Investor: Minimal Abweichung zu System InnererWert -0.5
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

AgentName;Handelstag;AgentTyp;AktienAnzahl;Cash;Depot;Relative ;Relative     ;Absolute ;Absolute     ;Order;BuyMenge;BuyLimit;Order;SellMenge;SellLimit;Kurs;Kurszusatz;System     ; Individuell; Zufaellige ;Kurs         ;Potenzal                 ;Eingesetztes; Potenzial  ;Potenzial ;DayCounter            ;Performed;Performed; Investor        ;NoiseTrader       ;NoiseTrader       ;NoiseTrader ; Bemerkung;         ;
         ;          ;        ;            ;    ;     ;Gewinn   ;GewinnProzent;Gewinn   ;GewinnProzent;     ;        ;        ;     ;         ;         ;    ;          ;InnererWert; InnererWert; Abweichung%;ChangeProzent;AktivationThreshold(%)   ;Potenzial   ; Counter    ;Base      ;seit letzte Anpassung ;Action   ;Menge    ; AbschlagProzent ;Used_AveragePrice ;DaysOfAveragePrice;LimitAdjust%;          ;         ;
V13;0000;NoiseTrader;2312;1354347;3666347;0;0,00;0;0,00;N;0;0;0;0;1000; ;0;0;0;0;0;0;0;0;0; ;0;NA;0,00;58;0,00;
V13;0001;NoiseTrader;2312;1354347;3631667;0;0,00;-34680;-0,9459;S;0;0;3;990;985;G;1000;0;0;0;0;0;0;0;0; ;0;NA;1019,1379;58;-0,663;;MyAveragePrice=1019,1379 YesterdayPrice=991,00
V13;0002;NoiseTrader;2310;1356319;3633979;0;0,00;-32368;-0,8828;S;0;0;3;986;986;B;1000;0;0;0;0;0;0;0;0;S;2;NA;1019,0517;58;0,185;;MyAveragePrice=1019,0517 YesterdayPrice=985,00;SellLimit increased 0.185%;
V13;0003;NoiseTrader;2310;1356319;3617809;0;0,00;-48538;-1,3239;S;0;0;3;981;979;b;992;0;0;0;0;0;0;0;0; ;0;NA;1019,1207;58;0,418;;MyAveragePrice=1019,1207 YesterdayPrice=986,00;SellLimit decreased 0.418%;
V13;0004;NoiseTrader;2308;1358277;3617809;0;0,00;-48538;-1,3239;S;0;0;3;978;979;B;1001;0;0;0;0;0;0;0;0;S;2;NA;1019,00;58;-0,015;;MyAveragePrice=1019,00 YesterdayPrice=979,00
V13;0005;NoiseTrader;2306;1360237;3620117;0;0,00;-46230;-1,2609;S;0;0;3;978;980;B;1002;0;0;0;0;0;0;0;0;S;2;NA;1019,0345;58;0,097;;MyAveragePrice=1019,0345 YesterdayPrice=979,00;SellLimit decreased 0.097%;
V13;0006;NoiseTrader;2306;1360237;3606281;0;0,00;-60066;-1,6383;S;0;0;3;975;974;b;994;0;0;0;0;0;0;0;0; ;0;NA;1018,8276;58;0,469;;MyAveragePrice=1018,8276 YesterdayPrice=980,00;SellLimit decreased 0.469%;
V13;0007;NoiseTrader;2303;1363159;3606281;0;0,00;-60066;-1,6383;S;0;0;5;973;974;B;1012;0;0;0;0;0;0;0;0;S;3;NA;1018,6207;58;-0,182;;MyAveragePrice=1018,6207 YesterdayPrice=974,00
V13;0008;NoiseTrader;2298;1368094;3636220;0;0,00;-30127;-0,8217;S;0;0;5;970;987;G;1023;0;0;0;0;0;0;0;0;S;5;NA;1018,3621;58;0,36;;MyAveragePrice=1018,3621 YesterdayPrice=974,00;SellLimit decreased 0.36%;
V13;0009;NoiseTrader;2296;1370100;3672988;0;0,00;6641;0,1811;S;0;0;3;991;1003;B;1026;0;0;0;0;0;0;0;0;S;2;NA;1018,2759;58;0,43;;MyAveragePrice=1018,2759 YesterdayPrice=987,00;SellLimit increased 0.43%;
V13;0010;NoiseTrader;2296;1370100;3659212;0;0,00;-7135;-0,1946;S;0;0;1;1000;997;G;1013;0;0;0;0;0;0;0;0; ;0;NA;1018,2069;58;0,216;;MyAveragePrice=1018,2069 YesterdayPrice=1003,00;SellLimit decreased 0.216%;
