#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 0.5
     Investor: Minimal Abweichung zu System InnererWert -0.5
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

Name;Tag;Type;AktienAnzahl;Cash;Depot;RelativGewinn;RelativeGewinnProzent;AbsoluteGewinn;AbsoluteGewinnProzent;Order;Menge;Limit;Kurs;Kurszusatz;PerformedMenge;
RandomTrader1;0000;RandomTrader;9999996;10002954;9859999014;0;0,00;-149999985;-1,4985;S;3;-1;985;G;3;
RandomTrader1;0001;RandomTrader;9999994;10004926;9869999010;0;0,00;-139999989;-1,3986;S;2;-1;986;B;2;
RandomTrader1;0002;RandomTrader;9999993;10005905;9799999052;0;0,00;-209999947;-2,0979;S;1;-1;979;b;1;
RandomTrader1;0003;RandomTrader;9999996;10002968;9799999052;0;0,00;-209999947;-2,0979;B;3;979;979;B;3;
RandomTrader1;0004;RandomTrader;9999994;10004928;9809999048;0;0,00;-199999951;-1,998;S;3;969;980;B;2;
RandomTrader1;0005;RandomTrader;9999994;10004928;9749999084;0;0,00;-259999915;-2,5974;B;3;970;974;b;0;
RandomTrader1;0006;RandomTrader;9999992;10006876;9749999084;0;0,00;-259999915;-2,5974;S;3;974;974;B;2;
RandomTrader1;0007;RandomTrader;9999995;10003915;9879998980;0;0,00;-130000019;-1,2987;B;3;-1;987;G;3;
RandomTrader1;0008;RandomTrader;9999994;10004918;10039998900;0;0,00;29999901;0,2997;S;1;-1;1003;B;1;
RandomTrader1;0009;RandomTrader;9999993;10005915;9979998936;0;0,00;-30000063;-0,2997;S;1;-1;997;G;1;
RandomTrader1;0010;RandomTrader;9999990;10008936;10079998866;0;0,00;69999867;0,6993;S;3;-1;1007;b;3;
RandomTrader1;0011;RandomTrader;9999991;10007930;10069998876;0;0,00;59999877;0,5994;B;1;-1;1006;b;1;
RandomTrader1;0012;RandomTrader;9999992;10006925;10059998885;0;0,00;49999886;0,4995;B;1;-1;1005;B;1;
RandomTrader1;0013;RandomTrader;9999991;10007938;10139998821;0;0,00;129999822;1,2987;S;1;-1;1013;b;1;
RandomTrader1;0014;RandomTrader;9999989;10009962;10129998830;0;0,00;119999831;1,1988;S;2;-1;1012;B;2;
RandomTrader1;0015;RandomTrader;9999987;10011956;9979998995;0;0,00;-30000004;-0,2997;S;2;-1;997;G;2;
RandomTrader1;0016;RandomTrader;9999987;10011956;9979998995;0;0,00;-30000004;-0,2997;S;2;1006;997;T;0;
RandomTrader1;0017;RandomTrader;9999989;10009944;10069998878;0;0,00;59999879;0,5994;B;2;-1;1006;G;2;
RandomTrader1;0018;RandomTrader;9999986;10012998;10189998746;0;0,00;179999747;1,7982;S;3;1016;1018;B;3;
RandomTrader1;0019;RandomTrader;9999986;10012998;10189998746;0;0,00;179999747;1,7982;B;2;1007;1018;T;0;
RandomTrader1;0020;RandomTrader;9999986;10012998;10189998746;0;0,00;179999747;1,7982;B;3;1018;1018;T;0;
RandomTrader1;0021;RandomTrader;9999987;10011946;10529998270;0;0,00;519999271;5,1948;B;1;-1;1052;B;1;
RandomTrader1;0022;RandomTrader;9999986;10013000;10549998244;0;0,00;539999245;5,3946;S;1;1041;1054;G;1;
RandomTrader1;0023;RandomTrader;9999986;10013000;10579998202;0;0,00;569999203;5,6943;S;3;1064;1057;G;0;
RandomTrader1;0024;RandomTrader;9999986;10013000;10619998146;609999147;6,0939;609999147;6,0939;S;2;1067;1061;G;0;
RandomTrader1;0025;RandomTrader;9999989;10009799;10679998062;819999048;8,3164;669999063;6,6933;B;3;1071;1067;B;3;
RandomTrader1;0026;RandomTrader;9999991;10007675;10629998117;759999107;7,7001;619999118;6,1938;B;2;-1;1062;G;2;
RandomTrader1;0027;RandomTrader;9999994;10004477;10669998081;869999029;8,8775;659999082;6,5934;B;3;1072;1066;G;3;
RandomTrader1;0028;RandomTrader;9999996;10002333;10729998045;929998993;9,4898;719999046;7,1928;B;2;-1;1072;G;2;
RandomTrader1;0029;RandomTrader;9999996;10002333;10719998049;909999001;9,2762;709999050;7,0929;S;2;1082;1071;B;0;
RandomTrader1;0030;RandomTrader;9999994;10004461;10649998077;899998993;9,2308;639999078;6,3936;S;2;-1;1064;G;2;
RandomTrader1;0031;RandomTrader;9999991;10007659;10669998065;919998981;9,4359;659999066;6,5934;S;3;-1;1066;G;3;
RandomTrader1;0032;RandomTrader;9999991;10007659;10739998002;859999022;8,7044;729999003;7,2927;S;2;1076;1073;G;0;
RandomTrader1;0033;RandomTrader;9999990;10008738;10799997948;759999048;7,5697;789998949;7,8921;S;1;-1;1079;G;1;
RandomTrader1;0034;RandomTrader;9999992;10006574;10829997918;849998982;8,517;819998919;8,1918;B;2;-1;1082;B;2;
RandomTrader1;0035;RandomTrader;9999992;10006574;10819997926;739999060;7,3413;809998927;8,0919;B;2;1071;1081;G;0;
RandomTrader1;0036;RandomTrader;9999992;10006574;10849997902;779999026;7,7458;839998903;8,3916;S;3;1091;1084;G;0;
RandomTrader1;0037;RandomTrader;9999994;10004400;10879997878;819998993;8,1511;869998879;8,6913;B;2;1094;1087;B;2;
RandomTrader1;0038;RandomTrader;9999991;10007655;10859997890;719999069;7,1006;849998891;8,4915;S;3;1076;1085;G;3;
RandomTrader1;0039;RandomTrader;9999991;10007655;10879997872;749999042;7,4037;869998873;8,6913;S;3;1095;1087;B;0;
RandomTrader1;0040;RandomTrader;9999988;10010901;10829997917;849998922;8,517;819998918;8,1918;S;3;1076;1082;B;3;
RandomTrader1;0041;RandomTrader;9999988;10010901;10799997953;819998958;8,2164;789998954;7,8921;B;2;1071;1079;b;0;
RandomTrader1;0042;RandomTrader;9999989;10009823;10789997965;719999087;7,1499;779998966;7,7922;B;1;-1;1078;B;1;
RandomTrader1;0043;RandomTrader;9999988;10010892;10699998064;509999318;5,0049;689999065;6,8931;S;1;-1;1069;B;1;
RandomTrader1;0044;RandomTrader;9999990;10008760;10669998100;479999354;4,7105;659999101;6,5934;B;2;-1;1066;G;2;
RandomTrader1;0045;RandomTrader;9999992;10006642;10599998170;409999424;4,0235;589999171;5,8941;B;2;1076;1059;B;2;
RandomTrader1;0046;RandomTrader;9999992;10006642;10549998210;19999940;0,1899;539999211;5,3946;B;1;1048;1054;G;0;
RandomTrader1;0047;RandomTrader;9999994;10004550;10469998274;-79999970;-0,7583;459999275;4,5954;B;2;1064;1046;G;2;
RandomTrader1;0048;RandomTrader;9999997;10001436;10389998322;-189999880;-1,7958;379999323;3,7962;B;3;-1;1038;B;3;
RandomTrader1;0049;RandomTrader;9999996;10002466;10309998346;-309999800;-2,919;299999347;2,997;S;1;1027;1030;B;1;
RandomTrader1;0050;RandomTrader;9999996;10002466;10309998346;-369999716;-3,4644;299999347;2,997;S;3;1019;1030;T;0;
RandomTrader1;0051;RandomTrader;9999997;10001436;10309998346;-319999771;-3,0103;299999347;2,997;B;1;1030;1030;B;1;
RandomTrader1;0052;RandomTrader;9999997;10001436;10309998346;-359999735;-3,3739;299999347;2,997;S;2;1019;1030;T;0;
RandomTrader1;0053;RandomTrader;9999997;10001436;10309998346;-419999699;-3,9143;299999347;2,997;S;1;1030;1030;T;0;
RandomTrader1;0054;RandomTrader;9999997;10001436;10309998346;-409999703;-3,8246;299999347;2,997;S;3;1030;1030;T;0;
RandomTrader1;0055;RandomTrader;9999999;9999414;10119998403;-529999674;-4,9765;109999404;1,0989;B;2;-1;1011;b;2;
RandomTrader1;0056;RandomTrader;9999999;9999414;10119998403;-549999662;-5,1546;109999404;1,0989;S;2;1011;1011;T;0;
RandomTrader1;0057;RandomTrader;9999998;10000400;9869998428;-869999574;-8,1006;-140000571;-1,3986;S;1;-1;986;G;1;
RandomTrader1;0058;RandomTrader;9999998;10000400;9839998434;-959999514;-8,8889;-170000565;-1,6983;S;2;995;983;B;0;
RandomTrader1;0059;RandomTrader;9999998;10000400;9779998446;-1049999472;-9,6953;-230000553;-2,2977;B;3;973;977;B;0;
RandomTrader1;0060;RandomTrader;9999996;10002344;9729998456;-1089999470;-10,0739;-280000543;-2,7972;S;2;-1;972;B;2;
RandomTrader1;0061;RandomTrader;9999996;10002344;9669998480;-1179999422;-10,8756;-340000519;-3,3966;B;3;962;966;B;0;
RandomTrader1;0062;RandomTrader;9999998;10000410;9679998476;-1199999402;-11,0294;-330000523;-3,2967;B;2;-1;967;B;2;
RandomTrader1;0063;RandomTrader;9999997;10001370;9609998490;-1249999400;-11,5101;-400000509;-3,996;S;1;-1;960;B;1;
RandomTrader1;0064;RandomTrader;9999996;10002324;9549998508;-1329999364;-12,2243;-460000491;-4,5954;S;1;950;954;B;1;
RandomTrader1;0065;RandomTrader;9999997;10001370;9549998508;-1279999409;-11,819;-460000491;-4,5954;B;1;-1;954;B;1;
RandomTrader1;0066;RandomTrader;9999998;10000422;9489998526;-1309999427;-12,1296;-520000473;-5,1948;B;1;-1;948;B;1;
RandomTrader1;0067;RandomTrader;9999997;10001373;9519998520;-1269999445;-11,7702;-490000479;-4,8951;S;2;938;951;B;1;
RandomTrader1;0068;RandomTrader;9999997;10001373;9559998508;-1139999556;-10,6542;-450000491;-4,4955;B;1;941;955;B;0;
RandomTrader1;0069;RandomTrader;9999995;10003303;9659998478;-1009999622;-9,4658;-350000521;-3,4965;S;2;-1;965;B;2;
RandomTrader1;0070;RandomTrader;9999997;10001373;9659998478;-939999692;-8,8679;-350000521;-3,4965;B;2;-1;965;B;2;
RandomTrader1;0071;RandomTrader;9999997;10001373;9599998496;-949999714;-9,0047;-410000503;-4,0959;B;2;955;959;B;0;
RandomTrader1;0072;RandomTrader;9999999;9999459;9579998502;-889999772;-8,5005;-430000497;-4,2957;B;2;-1;957;B;2;
RandomTrader1;0073;RandomTrader;10000002;9996585;9589998501;-799999821;-7,6997;-420000498;-4,1958;B;3;-1;958;B;3;
RandomTrader1;0074;RandomTrader;10000005;9993726;9539998491;-769999855;-7,4685;-470000508;-4,6953;B;3;-1;953;G;3;
RandomTrader1;0075;RandomTrader;10000007;9991812;9579998511;-729999835;-7,0805;-430000488;-4,2957;B;2;-1;957;B;2;
RandomTrader1;0076;RandomTrader;10000009;9989904;9549998490;-759999856;-7,3715;-460000509;-4,5954;B;2;-1;954;B;2;
RandomTrader1;0077;RandomTrader;10000008;9990859;9559998499;-749999847;-7,2745;-450000500;-4,4955;S;2;944;955;B;1;
RandomTrader1;0078;RandomTrader;10000007;9991807;9489998443;-819999903;-7,9534;-520000556;-5,1948;S;1;-1;948;G;1;
RandomTrader1;0079;RandomTrader;10000010;9988960;9499998450;-809999896;-7,8565;-510000549;-5,0949;B;3;-1;949;B;3;
RandomTrader1;0080;RandomTrader;10000009;9989906;9469998420;-649999983;-6,4229;-540000579;-5,3946;S;1;-1;946;B;1;
RandomTrader1;0081;RandomTrader;10000009;9989906;9399998357;-720000046;-7,1146;-610000642;-6,0939;B;2;936;939;B;0;
RandomTrader1;0082;RandomTrader;10000011;9988042;9329998294;-540000134;-5,4711;-680000705;-6,7932;B;2;-1;932;B;2;
