


Sorted by Name 

Nr.;Name;InitType;Profit(%);InitDepot;EndDepot;BuySumme;SellSumme;TypChangesCounter;DetailedAbwicklung;InitPrice;InitMenge;InitCash;EndPreis;EndMenge;EndCash;
1;V1;BlankoAgent;-1,633;703113;691629;85;85;10;depot/V1.csv;1000;0;703113;1247;0;691629;
2;V2;BlankoAgent;-5,191;700282;663932;240;240;8;depot/V2.csv;1000;0;700282;1247;0;663932;
3;V3;BlankoAgent;-5,477;524626;495894;216;216;11;depot/V3.csv;1000;0;524626;1247;0;495894;
4;V4;BlankoAgent;-9,457;471054;426505;312;312;4;depot/V4.csv;1000;0;471054;1247;0;426505;
5;V5;NoiseTrader;14,112;4462654;5092436;489;343;0;depot/V5.csv;1000;2706;1756654;1247;2852;1535992;
6;V6;Investor;14,361;14196473;16235244;1115;1897;0;depot/V6.csv;1000;7949;6247473;1247;7167;7297995;
7;V7;BlankoAgent;-6,059;378657;355714;167;167;10;depot/V7.csv;1000;0;378657;1247;0;355714;
8;V8;NoiseTrader;14,404;4652932;5323149;550;299;0;depot/V8.csv;1000;2813;1839932;1247;3064;1502341;
9;V9;BlankoAgent;-0,248;667322;665665;116;116;8;depot/V9.csv;1000;0;667322;1247;0;665665;
10;V10;BlankoAgent;-0,021;527549;527437;8;8;3;depot/V10.csv;1000;0;527549;1247;0;527437;
11;V11;BlankoAgent;-2,695;502137;488603;99;99;5;depot/V11.csv;1000;0;502137;1247;0;488603;
12;V12;BlankoAgent;-3,517;415050;400451;172;117;5;depot/V12.csv;1000;0;415050;1247;55;331866;
13;V13;NoiseTrader;14,232;3666347;4188149;646;428;0;depot/V13.csv;1000;2312;1354347;1247;2530;1033239;
14;V14;NoiseTrader;15,032;3880056;4463318;359;217;0;depot/V14.csv;1000;2425;1455056;1247;2567;1262269;
15;V15;BlankoAgent;-2,892;556904;540798;144;144;8;depot/V15.csv;1000;0;556904;1247;0;540798;
16;V16;BlankoAgent;-9,692;343495;310204;278;267;8;depot/V16.csv;1000;0;343495;1247;11;296487;
17;V17;BlankoAgent;-1,135;681776;674037;55;55;3;depot/V17.csv;1000;0;681776;1247;0;674037;
18;V18;BlankoAgent;-3,708;307062;295675;164;92;5;depot/V18.csv;1000;0;307062;1247;72;205891;
19;V19;BlankoAgent;24,250;710652;882982;858;202;5;depot/V19.csv;1000;0;710652;1247;656;64950;
20;V20;BlankoAgent;-1,740;365025;358675;167;93;5;depot/V20.csv;1000;0;365025;1247;74;266397;
21;V21;NoiseTrader;16,292;4071995;4735420;632;356;0;depot/V21.csv;1000;2814;1257995;1247;3090;882190;
22;V22;BlankoAgent;-1,181;589357;582395;211;180;16;depot/V22.csv;1000;0;589357;1247;31;543738;
23;V23;BlankoAgent;-3,274;698350;675483;142;142;3;depot/V23.csv;1000;0;698350;1247;0;675483;
24;V24;NoiseTrader;14,736;3307444;3794843;777;452;0;depot/V24.csv;1000;2107;1200444;1247;2432;762139;
25;V25;BlankoAgent;0,824;439118;442735;119;59;4;depot/V25.csv;1000;0;439118;1247;60;367915;
26;V26;BlankoAgent;-6,481;367617;343790;169;169;5;depot/V26.csv;1000;0;367617;1247;0;343790;
27;V27;BlankoAgent;-3,902;554288;532657;147;147;1;depot/V27.csv;1000;0;554288;1247;0;532657;
28;V28;BlankoAgent;5,023;322155;338338;253;234;2;depot/V28.csv;1000;0;322155;1247;19;314645;
29;V29;BlankoAgent;-0,757;644384;639506;87;57;6;depot/V29.csv;1000;0;644384;1247;30;602096;
30;V30;Investor;13,807;14666671;16691731;1143;1893;0;depot/V30.csv;1000;7815;6851671;1247;7065;7881676;
31;V31;NoiseTrader;15,427;3567323;4117655;541;417;0;depot/V31.csv;1000;2413;1154323;1247;2537;954016;
32;V32;BlankoAgent;-2,985;730507;708700;179;156;4;depot/V32.csv;1000;0;730507;1247;23;680019;
33;V33;BlankoAgent;5,035;487644;512199;267;219;5;depot/V33.csv;1000;0;487644;1247;48;452343;
34;V34;BlankoAgent;-3,733;608176;585471;143;143;3;depot/V34.csv;1000;0;608176;1247;0;585471;
35;V35;BlankoAgent;-3,263;651312;630060;148;148;4;depot/V35.csv;1000;0;651312;1247;0;630060;
36;V36;BlankoAgent;-2,802;727850;707456;187;132;3;depot/V36.csv;1000;0;727850;1247;55;638871;
37;V37;BlankoAgent;-5,589;566498;534839;225;225;3;depot/V37.csv;1000;0;566498;1247;0;534839;
38;V38;BlankoAgent;-1,699;474576;466515;135;78;3;depot/V38.csv;1000;0;474576;1247;57;395436;
39;V39;BlankoAgent;-4,647;528082;503542;295;178;10;depot/V39.csv;1000;0;528082;1247;117;357643;
40;V40;BlankoAgent;-3,523;596709;575687;138;138;2;depot/V40.csv;1000;0;596709;1247;0;575687;
41;V41;BlankoAgent;0,834;533141;537586;56;56;3;depot/V41.csv;1000;0;533141;1247;0;537586;
42;V42;BlankoAgent;-5,374;336218;318149;174;138;4;depot/V42.csv;1000;0;336218;1247;36;273257;
43;V43;Investor;11,147;13372436;14863007;1117;1905;0;depot/V43.csv;1000;5660;7712436;1247;4872;8787623;
44;V44;BlankoAgent;-8,120;485187;445788;263;263;5;depot/V44.csv;1000;0;485187;1247;0;445788;
45;V45;BlankoAgent;-5,071;507878;482124;207;179;4;depot/V45.csv;1000;0;507878;1247;28;447208;
46;V46;BlankoAgent;-2,069;651886;638398;84;84;4;depot/V46.csv;1000;0;651886;1247;0;638398;
