Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;986.0;0,001;989,00;0,3347;
3;979.0;0,0071;28,00;0,0071;
4;979.0;0,00;10769,00;2,75;
5;980.0;0,001;965,00;0,0657;
6;974.0;0,0061;2032,00;0,1481;
7;974.0;0,00;6818,00;0,5833;
8;987.0;0,0133;12091,00;0,6534;
9;1003.0;0,0161;16555,00;0,5411;
10;997.0;0,006;11051,00;0,787;
11;1007.0;0,01;11107,00;3,7135;
12;1006.0;0,001;11080,00;0,7859;
13;1005.0;0,001;2013,00;0,667;
14;1013.0;0,0079;7099,00;7,0637;
15;1012.0;0,001;5068,00;0,6254;
16;997.0;0,0149;1042,00;0,3432;
17;997.0;0,00;1994,00;1,00;
18;1006.0;0,009;7042,00;0,00;
19;1018.0;0,0119;1102,00;0,1565;
20;1018.0;0,00;8144,00;1,00;
21;1018.0;0,00;0,00;0,00;
22;1052.0;0,0329;1052,00;0,00;
23;1054.0;0,0019;4218,00;4,0095;
24;1057.0;0,0028;7414,00;1,4068;
25;1061.0;0,0038;7475,00;0,5893;
26;1067.0;0,0056;6288,00;0,3119;
27;1062.0;0,0047;22237,00;1,6031;
28;1066.0;0,0038;21184,00;0,5867;
29;1072.0;0,0056;84,00;0,0056;
30;1071.0;0,0009;31045,00;2,0686;
31;1064.0;0,0066;8211,00;0,1783;
32;1066.0;0,0019;25482,00;0,4696;
33;1073.0;0,0065;13760,00;0,4781;
34;1079.0;0,0056;1163,00;0,0774;
35;1082.0;0,0028;28177,00;1,7409;
36;1081.0;0,0009;13013,00;0,2933;
37;1084.0;0,0028;21767,00;0,6943;
38;1087.0;0,0028;13191,00;0,2483;
39;1085.0;0,0018;9887,00;0,1491;
40;1087.0;0,0018;42497,00;0,7532;
41;1082.0;0,0046;27677,00;0,2798;
42;1079.0;0,0028;41353,00;0,3267;
43;1078.0;0,0009;74303,00;0,8717;
44;1069.0;0,0084;10953,00;0,0687;
45;1066.0;0,0028;93159,00;0,6269;
46;1059.0;0,0066;27170,00;0,4902;
47;1054.0;0,0047;28848,00;0,3492;
48;1046.0;0,0076;1454,00;0,027;
49;1038.0;0,0077;28426,00;0,5435;
50;1030.0;0,0077;11514,00;0,4823;
51;1030.0;0,00;12360,00;1,00;
52;1030.0;0,00;1030,00;0,00;
53;1030.0;0,00;1030,00;1,00;
54;1030.0;0,00;0,00;0,00;
55;1030.0;0,00;0,00;0,00;
56;1011.0;0,0186;2022,00;0,00;
57;1011.0;0,00;2022,00;1,00;
58;986.0;0,025;986,00;0,00;
59;983.0;0,003;12776,00;12,9574;
60;977.0;0,0061;14571,00;1,0588;
61;972.0;0,0051;6949,00;0,2453;
62;966.0;0,0062;38508,00;1,8008;
63;967.0;0,001;7798,00;0,1302;
64;960.0;0,0073;29290,00;0,4327;
65;954.0;0,0063;1668,00;0,0434;
66;954.0;0,00;22896,00;0,5714;
67;948.0;0,0063;11772,00;0,187;
68;951.0;0,0032;10623,00;0,2075;
69;955.0;0,0042;3125,00;0,0506;
70;965.0;0,0104;680,00;0,0105;
71;965.0;0,00;12545,00;0,1912;
72;959.0;0,0062;42682,00;0,5461;
73;957.0;0,0021;28636,00;0,807;
74;958.0;0,001;20185,00;0,3148;
75;953.0;0,0052;47137,00;0,5591;
76;957.0;0,0042;48963,00;1,3174;
77;954.0;0,0031;46062,00;0,5348;
78;955.0;0,001;11418,00;0,285;
79;948.0;0,0074;4002,00;0,1397;
80;949.0;0,0011;9464,00;0,384;
81;946.0;0,0032;6574,00;0,433;
82;939.0;0,0074;1717,00;0,0789;
83;932.0;0,0075;11009,00;0,469;
84;936.0;0,0043;47884,00;1,3886;
85;935.0;0,0011;847,00;0,0103;
86;943.0;0,0085;9661,00;0,1161;
87;963.0;0,021;35034,00;0,4763;
88;969.0;0,0062;14295,00;0,3711;
89;978.0;0,0092;5643,00;0,2329;
90;978.0;0,00;3912,00;0,2105;
91;982.0;0,0041;1042,00;0,071;
92;986.0;0,0041;922,00;0,0587;
93;986.0;0,00;2958,00;0,20;
94;989.0;0,003;19816,00;1,6748;
95;989.0;0,00;28681,00;0,9062;
96;986.0;0,003;2775,00;0,046;
97;980.0;0,0061;4304,00;0,0682;
98;979.0;0,001;20619,00;0,3507;
99;974.0;0,0051;14805,00;0,3878;
100;968.0;0,0062;1792,00;0,0767;
101;963.0;0,0052;10723,00;0,4261;
102;961.0;0,0021;10601,00;0,7339;
103;954.0;0,0073;1880,00;0,4891;
104;948.0;0,0063;1932,00;0,3375;
105;943.0;0,0053;15068,00;3,9736;
106;937.0;0,0064;3628,00;0,1924;
107;938.0;0,0011;8466,00;0,3765;
108;934.0;0,0043;8274,00;0,2673;
109;937.0;0,0032;27299,00;0,6959;
110;941.0;0,0043;28887,00;0,4342;
111;938.0;0,0032;16066,00;0,4268;
112;936.0;0,0021;7534,00;0,3492;
113;936.0;0,00;25272,00;1,80;
114;935.0;0,0011;9308,00;0,2368;
115;936.0;0,0011;8476,00;0,1743;
116;943.0;0,0075;5231,00;0,0916;
117;946.0;0,0032;41459,00;0,7994;
118;949.0;0,0032;3763,00;0,3616;
119;955.0;0,0063;4817,00;0,7251;
120;958.0;0,0031;922,00;0,0805;
121;981.0;0,0237;7595,00;0,7207;
122;988.0;0,0071;2985,00;1,0143;
123;995.0;0,0071;3938,00;0,6643;
124;1001.0;0,006;25037,00;12,5814;
125;1005.0;0,004;5133,00;0,1899;
126;1007.0;0,002;48400,00;1,505;
127;1012.0;0,005;35020,00;0,4347;
128;1017.0;0,0049;2826,00;0,0621;
129;1021.0;0,0039;53260,00;1,2469;
130;1025.0;0,0039;10899,00;0,1136;
131;1029.0;0,0039;12016,00;0,1412;
132;1031.0;0,0019;51692,00;0,7075;
133;1035.0;0,0039;38846,00;0,3114;
134;1038.0;0,0029;153873,00;1,7912;
135;1041.0;0,0029;5898,00;0,0246;
136;1044.0;0,0029;6600,00;0,0269;
137;1045.0;0,001;14859,00;0,0622;
138;1048.0;0,0029;26519,00;0,1044;
139;1051.0;0,0029;1702,00;0,0075;
140;1055.0;0,0038;39907,00;0,1742;
141;1051.0;0,0038;416227,00;1,5472;
142;1055.0;0,0038;522782,00;0,7629;
143;1060.0;0,0047;770,00;0,0047;
144;1062.0;0,0019;391124,00;2,396;
145;1054.0;0,0076;124412,00;0,2244;
146;1056.0;0,0019;460184,00;0,678;
147;1054.0;0,0019;52060,00;0,2382;
148;1043.0;0,0105;119250,00;0,7161;
149;1035.0;0,0077;89132,00;0,3119;
150;1027.0;0,0078;37465,00;0,1905;
151;1019.0;0,0078;57285,00;0,3599;
152;1008.0;0,0109;16220,00;0,1592;
153;997.0;0,011;51782,00;0,6044;
154;990.0;0,007;15088,00;0,4451;
155;939.0;0,0529;16932,00;0,9002;
156;917.0;0,0237;44,00;0,0234;
157;906.0;0,0121;19004,00;10,3621;
158;891.0;0,0167;16584,00;0,7959;
159;886.0;0,0056;60038,00;1,6044;
160;891.0;0,0056;24607,00;0,2525;
161;882.0;0,0102;351,00;0,0029;
162;873.0;0,0103;16218,00;0,1332;
163;865.0;0,0092;61881,00;0,4486;
164;857.0;0,0093;9293,00;0,0465;
165;869.0;0,0139;2928,00;0,014;
166;877.0;0,0092;1952,00;0,0092;
167;870.0;0,008;36508,00;0,1706;
168;859.0;0,0127;9116,00;0,0514;
169;871.0;0,0139;4965,00;0,0295;
170;878.0;0,008;4027,00;0,0232;
171;874.0;0,0046;20910,00;0,1179;
172;878.0;0,0046;20910,00;0,1337;
173;880.0;0,0023;8396,00;0,0473;
174;891.0;0,0124;11022,00;0,0652;
175;904.0;0,0145;86,00;0,0005;
176;903.0;0,0011;6520,00;0,0362;
177;901.0;0,0022;384,00;0,0022;
178;895.0;0,0067;9207,00;0,0532;
179;900.0;0,0056;885,00;0,0054;
180;891.0;0,0101;8757,00;0,0538;
181;905.0;0,0156;19617,00;0,1273;
182;907.0;0,0022;384,00;0,0022;
183;897.0;0,0111;9096,00;0,0522;
184;911.0;0,0155;8042,00;0,0487;
185;911.0;0,00;7288,00;0,0421;
186;906.0;0,0055;32620,00;0,1967;
187;917.0;0,0121;40131,00;0,3013;
188;903.0;0,0154;83013,00;0,479;
189;909.0;0,0066;5145,00;0,057;
