


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
1;0,001
2;-0,0071
3;0,00
4;0,001
5;-0,0061
6;0,00
7;0,0133
8;0,0161
9;-0,006
10;0,01
11;-0,001
12;-0,001
13;0,0079
14;-0,001
15;-0,0149
16;0,00
17;0,009
18;0,0119
19;0,00
20;0,00
21;0,0329
22;0,0019
23;0,0028
24;0,0038
25;0,0056
26;-0,0047
27;0,0038
28;0,0056
29;-0,0009
30;-0,0066
31;0,0019
32;0,0065
33;0,0056
34;0,0028
35;-0,0009
36;0,0028
37;0,0028
38;-0,0018
39;0,0018
40;-0,0046
41;-0,0028
42;-0,0009
43;-0,0084
44;-0,0028
45;-0,0066
46;-0,0047
47;-0,0076
48;-0,0077
49;-0,0077
50;0,00
51;0,00
52;0,00
53;0,00
54;0,00
55;-0,0186
56;0,00
57;-0,025
58;-0,003
59;-0,0061
60;-0,0051
61;-0,0062
62;0,001
63;-0,0073
64;-0,0063
65;0,00
66;-0,0063
67;0,0032
68;0,0042
69;0,0104
70;0,00
71;-0,0062
72;-0,0021
73;0,001
74;-0,0052
75;0,0042
76;-0,0031
77;0,001
78;-0,0074
79;0,0011
80;-0,0032
81;-0,0074
82;-0,0075
83;0,0043
84;-0,0011
85;0,0085
86;0,021
87;0,0062
88;0,0092
89;0,00
90;0,0041
91;0,0041
92;0,00
93;0,003
94;0,00
95;-0,003
96;-0,0061
97;-0,001
98;-0,0051
99;-0,0062
100;-0,0052
101;-0,0021
102;-0,0073
103;-0,0063
104;-0,0053
105;-0,0064
106;0,0011
107;-0,0043
108;0,0032
109;0,0043
110;-0,0032
111;-0,0021
112;0,00
113;-0,0011
114;0,0011
115;0,0075
116;0,0032
117;0,0032
118;0,0063
119;0,0031
120;0,0237
121;0,0071
122;0,0071
123;0,006
124;0,004
125;0,002
126;0,005
127;0,0049
128;0,0039
129;0,0039
130;0,0039
131;0,0019
132;0,0039
133;0,0029
134;0,0029
135;0,0029
136;0,001
137;0,0029
138;0,0029
139;0,0038
140;-0,0038
141;0,0038
142;0,0047
143;0,0019
144;-0,0076
145;0,0019
146;-0,0019
147;-0,0105
148;-0,0077
149;-0,0078
150;-0,0078
151;-0,0109
152;-0,011
153;-0,007
154;-0,0529
155;-0,0237
156;-0,0121
157;-0,0167
158;-0,0056
159;0,0056
160;-0,0102
161;-0,0103
162;-0,0092
163;-0,0093
164;0,0139
165;0,0092
166;-0,008
167;-0,0127
168;0,0139
169;0,008
170;-0,0046
171;0,0046
172;0,0023
173;0,0124
174;0,0145
175;-0,0011
176;-0,0022
177;-0,0067
178;0,0056
179;-0,0101
180;0,0156
181;0,0022
182;-0,0111
183;0,0155
184;0,00
185;-0,0055
186;0,0121
187;-0,0154
188;0,0066
189;0,0357
190;-0,0021
191;0,0064
192;0,0157
193;0,0378
194;0,007
195;-0,009
196;0,006
197;0,0099
198;0,0225
199;0,0067
200;0,0067
201;0,00
202;0,00
203;0,0057
204;0,0094
205;0,0047
206;0,0093
207;0,0065
208;0,0037
209;0,0064
210;0,0064
211;0,0054
212;0,0036
213;0,0045
214;0,0036
215;0,0053
216;0,0018
217;0,0018
218;0,0053
219;0,0052
220;0,0044
221;0,0026
222;0,0017
223;0,0026
224;0,0017
225;0,0009
226;0,00
227;-0,0052
228;0,0009
229;0,0026
230;-0,0026
231;-0,0052
232;0,0026
233;0,0017
234;0,0009
235;0,0017
236;0,0009
237;0,0009
238;-0,0017
239;0,0009
240;-0,0009
241;-0,0043
242;-0,0061
243;-0,0079
244;-0,0106
245;-0,0107
246;-0,0072
247;-0,0109
248;-0,0037
249;-0,0289
250;-0,0162
251;0,0048
252;-0,0154
253;-0,0058
254;-0,0049
255;-0,0079
256;-0,0069
257;0,0069
258;-0,0059
259;-0,013
260;0,002
261;0,009
262;-0,011
263;0,002
264;0,009
265;0,0079
266;-0,0099
267;0,001
268;0,0079
269;0,0108
270;0,0039
271;0,026
272;0,0169
273;0,0222
274;0,0127
275;0,0063
276;0,0027
277;0,0071
278;0,0097
279;0,007
280;0,007
281;0,0069
282;0,006
283;0,0068
284;0,0068
285;0,00
286;0,00
287;0,0067
288;0,0067
289;0,005
290;0,005
291;0,0025
292;0,0057
293;0,0057
294;0,0041
295;0,0048
296;-0,0008
297;0,0048
298;-0,0024
299;0,0032



LogRenditen in 5 Tagen Abstand
Nummer;LogRenditen
1;-0,0112
2;0,0333
3;-0,01
4;0,0208
5;0,047
6;-0,0028
