#Kurszusatz G: Geld, Kauf>Verkauf;  B: Brief, Kauf<Verkauf;  b: bezahlt, Kauf=Verkauf, T: Taxe, Keine Buy/Sell Order
#Differenz        = Kurs - InnererWert
#DifferenzProzent = (Kurs - InnererWert)*100 / InnererWert 
# AVG: Average 
# NPBW_NP: Not Performed Buy Wish at new Price  = BuyWish at NewPrice - PerformedWish
# NPSW_NP: Not Performed Sell Wish at new Price = SellWish at NewPrice - PerformedWish
# NPBW_NP and NPSW_NP will not get minus value. Minial value is 0.
# 
# NPBW_ALL: Not Performed Buy Wish total = Total BuyWish - PerformedWish
# NPSW_ALL: Not Performed Sell Wish total = Total SellWish - PerformedWish 
#Handeltag;Preis;Kurszusatz;Umsatz;TradeVolume;InnererWert;Differ;DifferProzent;HighestBuyLimit;LowestSellLimit;Differ;DifferProzent;Average;AVGDeviation_BuyLimit;AVGDeviation_SellLimit;MengeAtHighestBuyLimit;VolumeAtHighestBuyLimit;MengeAtLowestSellLimit;VolumeAtLowestSellLimit;Umsatz;TradeVolume;NPBW_NEWPRICE;NPSW_NEWPRICE;NPBW_ALL;NPSW_ALL;BuyLimitH1;Volume1;BuyLimitH2;Volume2;BuyLimitH3;Volume3;BuyLimitH4;Volume4;BuyLimitH5;Volume5;VolumeSum;SellLimitL1;Volume1;SellLimitL2;Volume2;SellLimitL3;Volume3;SellLimitL4;Volume4;SellLimitL5;Volume5;VolumeSum;
1;985,00;G;3,00;2955,00;1000,00;-15,00;-1,00;989,00;990,00;-1,00;-0,101;989,50;-5,90;14,30;2,00;1978,00;0,00;0,00;3,00;2955,00;1,00;0,00;641,00;665,00;989,00;2,00;985,00;2,00;983,00;2,00;981,00;2,00;980,00;2,00;10,00;990,00;6,00;991,00;15,00;1010,00;2,00;1012,00;2,00;1016,00;2,00;27,00;
2;986,00;B;4,00;3944,00;992,00;-6,00;-1,00;986,00;986,00;0,00;0,00;986,00;-4,40;3,00;4,00;3944,00;4,00;3944,00;4,00;3944,00;0,00;1,00;640,00;663,00;986,00;4,00;983,00;2,00;982,00;2,00;980,00;2,00;977,00;2,00;12,00;986,00;3,00;987,00;3,00;989,00;3,00;991,00;6,00;992,00;6,00;21,00;
3;979,00;b;4,00;3916,00;1001,00;-22,00;-2,00;980,00;979,00;1,00;0,1021;979,50;-2,30;1,50;2,00;1960,00;4,00;3916,00;4,00;3916,00;0,00;0,00;640,00;662,00;980,00;2,00;979,00;2,00;978,00;2,00;976,00;2,00;973,00;2,00;10,00;979,00;3,00;980,00;6,00;981,00;3,00;982,00;3,00;983,00;3,00;18,00;
4;979,00;B;15,00;14685,00;1002,00;-23,00;-2,00;989,00;978,00;11,00;1,1247;983,50;1,30;17,10;2,00;1978,00;14,00;13692,00;15,00;14685,00;0,00;10,00;632,00;654,00;989,00;2,00;987,00;2,00;986,00;2,00;982,00;2,00;980,00;2,00;10,00;978,00;14,00;979,00;11,00;1011,00;2,00;1017,00;4,00;1018,00;2,00;33,00;
5;980,00;B;14,00;13720,00;994,00;-14,00;-1,00;989,00;969,00;20,00;2,064;979,00;7,40;-6,20;2,00;1978,00;3,00;2907,00;14,00;13720,00;0,00;14,00;630,00;658,00;989,00;2,00;988,00;2,00;986,00;2,00;985,00;2,00;984,00;2,00;10,00;969,00;3,00;972,00;3,00;973,00;3,00;974,00;3,00;976,00;13,00;25,00;
6;974,00;b;12,00;11688,00;1012,00;-38,00;-4,00;981,00;972,00;9,00;0,9259;976,50;1,50;-2,30;2,00;1962,00;3,00;2916,00;12,00;11688,00;0,00;0,00;635,00;653,00;981,00;2,00;980,00;2,00;978,00;2,00;976,00;2,00;975,00;2,00;10,00;972,00;3,00;973,00;3,00;974,00;6,00;975,00;6,00;977,00;3,00;21,00;
7;974,00;B;19,00;18506,00;1023,00;-49,00;-5,00;994,00;973,00;21,00;2,1583;983,50;8,10;21,10;2,00;1988,00;8,00;7784,00;19,00;18506,00;0,00;15,00;625,00;659,00;994,00;2,00;993,00;2,00;992,00;6,00;990,00;2,00;989,00;2,00;14,00;973,00;8,00;974,00;26,00;1023,00;2,00;1024,00;6,00;1029,00;2,00;44,00;
8;987,00;G;31,00;30597,00;1026,00;-39,00;-4,00;1011,00;968,00;43,00;4,4421;989,50;16,50;-19,50;5,00;5055,00;5,00;4840,00;31,00;30597,00;1,00;0,00;616,00;644,00;1011,00;2,00;1008,00;4,00;1005,00;2,00;1004,00;2,00;1002,00;2,00;12,00;968,00;5,00;969,00;5,00;970,00;5,00;971,00;8,00;972,00;8,00;31,00;
9;1003,00;B;14,00;14042,00;1013,00;-10,00;-1,00;1009,00;987,00;22,00;2,229;998,00;8,00;2,00;4,00;4036,00;7,00;6909,00;14,00;14042,00;0,00;8,00;630,00;652,00;1009,00;4,00;1007,00;4,00;1006,00;2,00;1005,00;2,00;1003,00;2,00;14,00;987,00;6,00;991,00;9,00;992,00;3,00;993,00;3,00;1037,00;2,00;23,00;
10;997,00;G;3,00;2991,00;1027,00;-30,00;-3,00;1001,00;996,00;5,00;0,502;998,50;-1,90;0,10;2,00;2002,00;2,00;1992,00;3,00;2991,00;3,00;0,00;641,00;649,00;1001,00;2,00;997,00;4,00;996,00;2,00;995,00;2,00;994,00;2,00;12,00;996,00;1,00;997,00;1,00;999,00;1,00;1000,00;2,00;1001,00;1,00;6,00;
11;1007,00;b;14,00;14098,00;1020,00;-13,00;-1,00;1010,00;998,00;12,00;1,2024;1004,00;-3,00;-4,00;2,00;2020,00;4,00;3992,00;14,00;14098,00;0,00;0,00;630,00;644,00;1010,00;2,00;1009,00;2,00;1007,00;10,00;990,00;5,00;989,00;5,00;24,00;998,00;1,00;999,00;5,00;1000,00;1,00;1001,00;3,00;1002,00;1,00;11,00;
12;1006,00;b;3,00;3018,00;1013,00;-7,00;-1,00;1006,00;1006,00;0,00;0,00;1006,00;-3,40;16,40;3,00;3018,00;3,00;3018,00;3,00;3018,00;0,00;0,00;642,00;648,00;1006,00;2,00;1004,00;2,00;1002,00;2,00;1001,00;2,00;1000,00;2,00;10,00;1006,00;3,00;1007,00;4,00;1031,00;2,00;1033,00;2,00;1035,00;2,00;13,00;
13;1005,00;B;1,00;1005,00;1030,00;-25,00;-2,00;1000,00;1005,00;-5,00;-0,4975;1002,50;-7,10;17,70;0,00;0,00;1,00;1005,00;1,00;1005,00;0,00;1,00;644,00;650,00;1000,00;4,00;999,00;2,00;996,00;2,00;992,00;2,00;990,00;4,00;14,00;1005,00;2,00;1006,00;5,00;1027,00;4,00;1031,00;4,00;1032,00;2,00;17,00;
14;1013,00;b;8,00;8104,00;1015,00;-2,00;0,00;1016,00;999,00;17,00;1,7017;1007,50;3,70;1,70;2,00;2032,00;2,00;1998,00;8,00;8104,00;0,00;0,00;636,00;644,00;1016,00;2,00;1014,00;2,00;1013,00;4,00;1010,00;4,00;1003,00;2,00;14,00;999,00;1,00;1000,00;1,00;1001,00;2,00;1004,00;3,00;1042,00;2,00;9,00;
15;1012,00;B;3,00;3036,00;1013,00;-1,00;0,00;1013,00;1012,00;1,00;0,0988;1012,50;-10,30;8,10;2,00;2026,00;3,00;3036,00;3,00;3036,00;0,00;1,00;644,00;647,00;1013,00;2,00;1012,00;1,00;997,00;2,00;995,00;2,00;994,00;6,00;13,00;1012,00;2,00;1013,00;2,00;1025,00;2,00;1026,00;2,00;1027,00;2,00;10,00;
