#Handeltag;Investor;NoiseTrader;BlankoAgent;Investor->NoiseTrader;NoiseTrader->Investor;TotalChanges;
0;7;7;86;37;21;58;
1;7;7;86;0;0;0;
2;7;7;86;0;0;0;
3;7;7;86;0;0;0;
4;7;7;86;0;0;0;
5;7;7;86;0;0;0;
6;7;7;86;0;0;0;
7;7;7;86;0;0;0;
8;7;7;86;0;0;0;
9;7;7;86;0;0;0;
10;7;7;86;0;0;0;
11;7;7;86;0;0;0;
12;7;7;86;0;0;0;
13;7;7;86;0;0;0;
14;7;7;86;0;0;0;
15;7;7;86;0;0;0;
16;7;7;86;0;0;0;
17;7;7;86;0;0;0;
18;7;7;86;0;0;0;
19;7;7;86;0;0;0;
20;7;7;86;0;0;0;
21;7;7;86;0;0;0;
22;7;7;86;0;0;0;
23;7;7;86;0;0;0;
24;7;7;86;0;0;0;
25;7;7;86;0;0;0;
26;7;7;86;0;0;0;
27;7;7;86;0;0;0;
28;7;7;86;0;0;0;
29;7;7;86;0;0;0;
30;7;7;86;0;0;0;
31;7;7;86;0;0;0;
32;8;7;85;1;0;1;
33;8;7;85;0;0;0;
34;8;7;85;0;0;0;
35;8;7;85;0;0;0;
36;8;7;85;0;0;0;
37;8;7;85;0;0;0;
38;8;8;84;1;0;1;
39;9;8;83;1;0;1;
40;9;8;83;0;0;0;
41;9;8;83;0;0;0;
42;9;8;83;0;0;0;
43;9;8;83;0;0;0;
44;9;8;83;0;0;0;
45;9;8;83;0;0;0;
46;9;8;83;0;0;0;
47;9;8;83;0;0;0;
48;9;8;83;0;0;0;
49;9;8;83;0;0;0;
50;9;8;83;0;0;0;
51;9;8;83;0;0;0;
52;9;8;83;0;0;0;
53;9;8;83;0;0;0;
54;9;8;83;0;0;0;
55;9;8;83;0;0;0;
56;9;8;83;0;0;0;
57;9;8;83;0;0;0;
58;9;8;83;0;0;0;
59;9;8;83;0;0;0;
60;9;8;83;0;0;0;
61;9;8;83;0;0;0;
62;10;8;82;1;0;1;
63;10;8;82;0;0;0;
64;10;8;82;0;0;0;
65;10;8;82;0;0;0;
66;10;8;82;0;0;0;
67;10;9;81;1;0;1;
68;10;9;81;0;0;0;
69;10;9;81;0;0;0;
70;10;10;80;1;0;1;
71;10;10;80;0;0;0;
72;13;10;77;3;0;3;
73;13;10;77;0;0;0;
74;13;11;76;1;0;1;
75;13;12;75;1;0;1;
76;14;12;74;1;0;1;
77;16;12;72;2;0;2;
78;16;12;72;0;0;0;
79;16;13;71;1;0;1;
80;16;14;70;1;0;1;
81;16;14;70;0;0;0;
82;16;14;70;0;0;0;
83;16;14;70;0;0;0;
84;17;14;69;1;0;1;
85;18;15;67;2;0;2;
86;18;15;67;0;0;0;
87;18;15;67;0;0;0;
88;18;15;67;0;0;0;
89;18;15;67;0;0;0;
90;18;15;67;0;0;0;
91;18;15;67;0;0;0;
92;18;15;67;0;0;0;
93;18;15;67;0;0;0;
94;18;15;67;0;0;0;
95;18;15;67;0;0;0;
96;18;15;67;0;0;0;
97;18;15;67;0;0;0;
98;18;14;68;1;0;1;
99;18;14;68;0;0;0;
100;18;14;68;0;0;0;
101;17;14;69;0;1;1;
102;18;14;68;1;0;1;
103;18;14;68;0;0;0;
104;19;14;67;1;0;1;
105;20;14;66;1;0;1;
106;20;14;66;0;0;0;
107;20;15;65;1;1;2;
108;21;15;64;1;0;1;
109;21;15;64;0;0;0;
110;24;16;60;4;0;4;
111;26;17;57;3;0;3;
112;26;17;57;0;0;0;
113;26;17;57;0;0;0;
114;27;17;56;1;0;1;
115;30;16;54;3;0;3;
116;32;18;50;4;0;4;
117;35;19;46;4;0;4;
118;36;20;44;2;0;2;
119;37;20;43;1;0;1;
120;37;21;42;1;0;1;
121;38;21;41;1;0;1;
122;38;22;40;1;0;1;
123;38;22;40;0;0;0;
124;38;22;40;0;0;0;
125;38;23;39;1;0;1;
126;39;24;37;2;0;2;
127;40;25;35;2;0;2;
128;40;27;33;2;0;2;
129;41;29;30;3;0;3;
130;41;29;30;0;0;0;
131;42;29;29;1;0;1;
132;41;31;28;1;1;2;
133;41;31;28;0;0;0;
134;41;32;27;1;0;1;
135;41;33;26;1;0;1;
136;41;34;25;1;0;1;
137;41;34;25;0;0;0;
138;42;36;22;3;0;3;
139;45;37;18;4;0;4;
140;46;37;17;1;0;1;
141;47;36;17;1;0;1;
142;48;35;17;1;0;1;
143;48;35;17;0;0;0;
144;49;34;17;1;0;1;
145;49;34;17;0;0;0;
146;49;34;17;0;0;0;
147;51;32;17;2;0;2;
148;51;32;17;0;0;0;
149;51;32;17;0;0;0;
150;51;32;17;0;0;0;
151;52;31;17;1;0;1;
152;53;30;17;1;0;1;
153;53;30;17;0;0;0;
154;53;30;17;0;0;0;
155;53;30;17;0;0;0;
156;53;30;17;0;0;0;
157;53;30;17;0;0;0;
158;53;30;17;0;0;0;
159;53;30;17;0;0;0;
160;54;29;17;1;0;1;
161;54;29;17;0;0;0;
162;55;28;17;1;0;1;
163;55;28;17;0;0;0;
164;56;27;17;1;0;1;
165;57;27;16;1;0;1;
166;58;27;15;1;0;1;
167;59;27;14;1;0;1;
168;60;27;13;1;0;1;
169;61;27;12;1;0;1;
170;62;26;12;1;0;1;
171;63;25;12;1;0;1;
172;63;25;12;0;0;0;
173;67;21;12;4;0;4;
174;67;21;12;1;1;2;
175;68;21;11;1;0;1;
176;69;21;10;1;0;1;
177;69;21;10;0;0;0;
178;70;20;10;1;0;1;
179;70;20;10;0;0;0;
180;71;20;9;2;1;3;
181;71;21;8;1;0;1;
182;73;19;8;2;0;2;
183;73;19;8;0;0;0;
184;73;19;8;0;0;0;
185;72;20;8;0;1;1;
186;73;21;6;2;1;3;
187;75;19;6;2;0;2;
