#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 0.5
     Investor: Minimal Abweichung zu System InnererWert -0.5
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

Name;Tag;Type;State;ChangedReason;AktienAnzahl;Cash;Depot;RelativGewinn;RelativeGewinnProzent;AbsoluteGewinn;AbsoluteGewinnProzent;Order;BuyMenge;BuyLimit;SellMenge;SellLimit;Kurs;Kurszusatz;PerformedMenge;
V27; ;BlankoAgent; Individuelle Parameter: TimeWindowForAverageBuyLimit(Day)=28;ActivationThreshold(%)=8.46;DeactivationThreshold(%)=12.94;
V27;0000;BlankoAgent;initstate;;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;0;
V27;0001;BlankoAgent;initstate;;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;984;
V27;0002;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;984;
V27;0003;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;978;
V27;0004;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;977;
V27;0005;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;982;
V27;0006;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;977;
V27;0007;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;974;
V27;0008;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;986;
V27;0009;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;991;
V27;0010;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;991;
V27;0011;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;991;
V27;0012;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;994;
V27;0013;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;993;
V27;0014;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1009;
V27;0015;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1019;
V27;0016;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1022;
V27;0017;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1022;
V27;0018;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1037;
V27;0019;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1037;
V27;0020;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1037;
V27;0021;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1047;
V27;0022;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1053;
V27;0023;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1055;
V27;0024;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1049;
V27;0025;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1050;
V27;0026;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1046;
V27;0027;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1048;
V27;0028;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1042;
V27;0029;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1048;
V27;0030;BlankoAgent;initstate;PriceWindow needs at least 28 days prices as basis.;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1044;
V27;0031;BlankoAgent;initstate;CurPrice=1044.0 Ref.Price=978,00 UpProcent=6,7485;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1033;
V27;0032;BlankoAgent;initstate;CurPrice=1033.0 Ref.Price=977,00 UpProcent=5,7318;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1027;
V27;0033;BlankoAgent;initstate;CurPrice=1027.0 Ref.Price=982,00 UpProcent=4,5825;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1026;
V27;0034;BlankoAgent;initstate;CurPrice=1026.0 Ref.Price=977,00 UpProcent=5,0154;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1026;
V27;0035;BlankoAgent;initstate;CurPrice=1026.0 Ref.Price=974,00 UpProcent=5,3388;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1029;
V27;0036;BlankoAgent;initstate;CurPrice=1029.0 Ref.Price=986,00 UpProcent=4,3611;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1039;
V27;0037;BlankoAgent;initstate;CurPrice=1039.0 Ref.Price=991,00 UpProcent=4,8436;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1032;
V27;0038;BlankoAgent;initstate;CurPrice=1032.0 Ref.Price=991,00 UpProcent=4,1372;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1031;
V27;0039;BlankoAgent;initstate;CurPrice=1031.0 Ref.Price=991,00 UpProcent=4,0363;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1025;
V27;0040;BlankoAgent;initstate;CurPrice=1025.0 Ref.Price=994,00 UpProcent=3,1187;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1017;
V27;0041;BlankoAgent;initstate;CurPrice=1017.0 Ref.Price=993,00 UpProcent=2,4169;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;979;
V27;0042;BlankoAgent;initstate;CurpPrice=979.0 Ref.Price=1009,00 DownProcent=2,9732;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;988;
V27;0043;BlankoAgent;initstate;CurpPrice=988.0 Ref.Price=1019,00 DownProcent=3,0422;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;950;
V27;0044;BlankoAgent;initstate;CurpPrice=950.0 Ref.Price=1022,00 DownProcent=7,045;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;959;
V27;0045;BlankoAgent;initstate;CurpPrice=959.0 Ref.Price=1022,00 DownProcent=6,1644;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;953;
V27;0046;BlankoAgent;initstate;CurpPrice=953.0 Ref.Price=1037,00 DownProcent=8,1003;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;962;
V27;0047;BlankoAgent;initstate;CurpPrice=962.0 Ref.Price=1037,00 DownProcent=7,2324;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;949;
V27;0048;BlankoAgent;initstate;CurpPrice=949.0 Ref.Price=1037,00 DownProcent=8,486;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;953;
V27;0049;BlankoAgent;initstate;CurpPrice=953.0 Ref.Price=1047,00 DownProcent=8,978;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;949;
V27;0050;BlankoAgent;initstate;CurpPrice=949.0 Ref.Price=1053,00 DownProcent=9,8765;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;950;
V27;0051;BlankoAgent;initstate;CurpPrice=950.0 Ref.Price=1055,00 DownProcent=9,9526;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;948;
V27;0052;BlankoAgent;initstate;CurpPrice=948.0 Ref.Price=1049,00 DownProcent=9,6282;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;948;
V27;0053;BlankoAgent;initstate;CurpPrice=948.0 Ref.Price=1050,00 DownProcent=9,7143;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;947;
V27;0054;BlankoAgent;initstate;CurpPrice=947.0 Ref.Price=1046,00 DownProcent=9,4646;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;955;
V27;0055;BlankoAgent;initstate;CurpPrice=955.0 Ref.Price=1048,00 DownProcent=8,874;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;961;
V27;0056;BlankoAgent;initstate;CurpPrice=961.0 Ref.Price=1042,00 DownProcent=7,7735;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;959;
V27;0057;BlankoAgent;initstate;CurpPrice=959.0 Ref.Price=1048,00 DownProcent=8,4924;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;965;
V27;0058;BlankoAgent;initstate;CurpPrice=965.0 Ref.Price=1044,00 DownProcent=7,567;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;958;
V27;0059;BlankoAgent;initstate;CurpPrice=958.0 Ref.Price=1033,00 DownProcent=7,2604;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;958;
V27;0060;BlankoAgent;initstate;CurpPrice=958.0 Ref.Price=1027,00 DownProcent=6,7186;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;957;
V27;0061;BlankoAgent;initstate;CurpPrice=957.0 Ref.Price=1026,00 DownProcent=6,7251;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;965;
V27;0062;BlankoAgent;initstate;CurpPrice=965.0 Ref.Price=1026,00 DownProcent=5,9454;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;987;
V27;0063;BlankoAgent;initstate;CurpPrice=987.0 Ref.Price=1029,00 DownProcent=4,0816;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1009;
V27;0064;BlankoAgent;initstate;CurpPrice=1009.0 Ref.Price=1039,00 DownProcent=2,8874;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1019;
V27;0065;BlankoAgent;initstate;CurpPrice=1019.0 Ref.Price=1032,00 DownProcent=1,2597;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1020;
V27;0066;BlankoAgent;initstate;CurpPrice=1020.0 Ref.Price=1031,00 DownProcent=1,0669;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1027;
V27;0067;BlankoAgent;initstate;CurPrice=1027.0 Ref.Price=1025,00 UpProcent=0,1951;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1027;
V27;0068;BlankoAgent;initstate;CurPrice=1027.0 Ref.Price=1017,00 UpProcent=0,9833;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1033;
V27;0069;BlankoAgent;initstate;CurPrice=1033.0 Ref.Price=979,00 UpProcent=5,5158;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1034;
V27;0070;BlankoAgent;initstate;CurPrice=1034.0 Ref.Price=988,00 UpProcent=4,6559;0;686435;686435;0;0,00;0;0,00;  ;   ;   ;   ;  ;1035;
V27;0071;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1041;b;1029,00;0,00;0;0;0; ;0;0;
V27;0072;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1041;G;1012,00;0,00;0;0;0; ;0;0;
V27;0073;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1042;G;1017,00;0,00;0;0;0; ;0;0;
V27;0074;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1046;G;1022,00;0,00;0;0;0; ;0;0;
V27;0075;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1042;B;1006,00;0,00;0;0;0; ;0;0;
V27;0076;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1040;G;1022,00;0,00;0;0;0; ;0;0;
V27;0077;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1041;B;1006,00;0,00;0;0;0; ;0;0;
V27;0078;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1034;B;998,00;0,00;0;0;0; ;0;0;
V27;0079;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1027;G;994,00;0,00;0;0;0; ;0;0;
V27;0080;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1023;B;984,00;0,00;0;0;0; ;0;0;
V27;0081;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1017;B;986,00;0,00;0;0;0; ;0;0;
V27;0082;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;1006;B;981,00;0,00;0;0;0; ;0;0;
V27;0083;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;999;B;985,00;0,00;0;0;0; ;0;0;
V27;0084;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;996;B;999,00;0,00;0;0;0; ;0;0;
V27;0085;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;994;B;1000,00;0,00;0;0;0; ;0;0;
V27;0086;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;984;B;984,00;0,00;0;0;0; ;0;0;
V27;0087;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;980;B;994,00;0,00;0;0;0; ;0;0;
V27;0088;BlankoAgent;active   ;already active but no strategy;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;975;B;989,00;0,00;0;0;0; ;0;0;
V27;0089;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;972;B;994,00;0,00;0;0;0; ;0;0;
V27;0090;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;968;B;985,00;0,00;0;0;0; ;0;0;
V27;0091;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;964;G;991,00;0,00;0;0;0; ;0;0;
V27;0092;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;968;B;976,00;0,00;0;0;0; ;0;0;
V27;0093;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;963;B;975,00;0,00;0;0;0; ;0;0;
V27;0094;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;958;B;965,00;0,00;0;0;0; ;0;0;
V27;0095;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;951;B;954,00;0,00;0;0;0; ;0;0;
V27;0096;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;944;B;949,00;0,00;0;0;0; ;0;0;
V27;0097;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;937;B;943,00;0,00;0;0;0; ;0;0;
V27;0098;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;933;B;938,00;0,00;0;0;0; ;0;0;
V27;0099;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;929;B;952,00;0,00;0;0;0; ;0;0;
V27;0100;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;922;B;950,00;0,00;0;0;0; ;0;0;
V27;0101;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;922;G;957,00;0,00;0;0;0; ;0;0;
V27;0102;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;928;G;961,00;0,00;0;0;0; ;0;0;
V27;0103;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;936;B;960,00;0,00;0;0;0; ;0;0;
V27;0104;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;933;b;954,00;0,00;0;0;0; ;0;0;
V27;0105;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;935;B;961,00;0,00;0;0;0; ;0;0;
V27;0106;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;933;b;956,00;0,00;0;0;0; ;0;0;
V27;0107;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;936;B;961,00;0,00;0;0;0; ;0;0;
V27;0108;BlankoAgent;active   ;already active but no strategy;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;938;B;961,00;0,00;0;0;0; ;0;0;
V27;0109;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;938;G;971,00;0,00;0;0;0; ;0;0;
V27;0110;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;942;B;965,00;0,00;0;0;0; ;0;0;
V27;0111;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;939;B;956,00;0,00;0;0;0; ;0;0;
V27;0112;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;936;B;951,00;0,00;0;0;0; ;0;0;
V27;0113;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;938;G;963,00;0,00;0;0;0; ;0;0;
V27;0114;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;943;G;966,00;0,00;0;0;0; ;0;0;
V27;0115;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;950;G;969,00;0,00;0;0;0; ;0;0;
V27;0116;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;956;B;975,00;0,00;0;0;0; ;0;0;
V27;0117;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;952;B;960,00;0,00;0;0;0; ;0;0;
V27;0118;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;946;B;960,00;0,00;0;0;0; ;0;0;
V27;0119;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;949;G;969,00;0,00;0;0;0; ;0;0;
V27;0120;BlankoAgent;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;958;B;971,00;0,00;0;0;0; ;0;0;
V27;0121;NoiseTrader;active   ;already active but no strategyCurPrice=958.0 Ref.Price=963,00 DownProcent=0,5192 Threshold=12,94 MindesActiveDays=15;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;970;G;982,00;0,00;0;0;0; ;0;NA;977,8947;57;0,533;;MyAveragePrice=977,8947 YesterdayPrice=958,00;SellLimit decreased 0.533%;
V27;0122;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;N;0;0;0;0;979;b;980,00;0,00;0;0;0; ;0;NA;977,0351;57;0,324;;MyAveragePrice=977,0351 YesterdayPrice=970,00;SellLimit increased 0.324%;
V27;0123;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;B;1;978;0;0;989;G;992,00;0,00;0;0;0; ;0;NA;976,3158;57;-0,535;;MyAveragePrice=976,3158 YesterdayPrice=979,00
V27;0124;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;B;1;988;0;0;994;G;976,00;0,00;0;0;0; ;0;NA;975,6491;57;0,017;;MyAveragePrice=975,6491 YesterdayPrice=989,00;BuyLimit increased 0.017%;
V27;0125;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;0;686435;686435;0;0,00;0;0,00;B;1;996;0;0;998;G;977,00;0,00;0;0;0; ;0;NA;975,0702;57;0,235;;MyAveragePrice=975,0702 YesterdayPrice=994,00;BuyLimit increased 0.235%;
V27;0126;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;3;683438;686435;0;0,00;0;0,00;B;3;999;0;0;999;b;968,00;0,00;0;0;0;B;3;NA;974,4561;57;0,118;;MyAveragePrice=974,4561 YesterdayPrice=998,00;BuyLimit increased 0.118%;
V27;0127;NoiseTrader;active   ;Active with strategy for 7 days;4;682439;686435;0;0,00;0;0,00;B;5;999;0;0;999;G;980,00;0,00;0;0;0;B;1;NA;949,00;29;0,737;;MyAveragePrice=949,00 YesterdayPrice=999,00
V27;0128;NoiseTrader;active   ;Wahrscheinlichkeit hat entschieden, Keine Strategie aus Nachbar zu übernehmen;7;679427;686455;20;0,0029;20;0,0029;B;5;1005;0;0;1004;G;983,00;0,00;0;0;0;B;3;NA;951,2759;29;0,624;;MyAveragePrice=951,2759 YesterdayPrice=999,00;BuyLimit increased 0.624%;
