#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 0.5
     Investor: Minimal Abweichung zu System InnererWert -0.5
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

Name;Tag;Type;AktienAnzahl;Cash;Depot;RelativGewinn;RelativeGewinnProzent;AbsoluteGewinn;AbsoluteGewinnProzent;Order;Menge;Limit;Kurs;Kurszusatz;PerformedMenge;
RandomTrader1;0000;RandomTrader;9999996;10002951;9849999015;0;0,00;-159999984;-1,5984;S;3;-1;984;b;3;
RandomTrader1;0001;RandomTrader;9999994;10004919;9849999015;0;0,00;-159999984;-1,5984;S;2;-1;984;B;2;
RandomTrader1;0002;RandomTrader;9999993;10005897;9789999051;0;0,00;-219999948;-2,1978;S;1;-1;978;B;1;
RandomTrader1;0003;RandomTrader;9999993;10005897;9779999058;0;0,00;-229999941;-2,2977;B;3;968;977;B;0;
RandomTrader1;0004;RandomTrader;9999991;10007861;9829999023;0;0,00;-179999976;-1,7982;S;3;967;982;B;2;
RandomTrader1;0005;RandomTrader;9999991;10007861;9779999068;0;0,00;-229999931;-2,2977;B;3;972;977;B;0;
RandomTrader1;0006;RandomTrader;9999988;10010783;9749999095;0;0,00;-259999904;-2,5974;S;3;967;974;B;3;
RandomTrader1;0007;RandomTrader;9999991;10007825;9869998951;0;0,00;-140000048;-1,3986;B;3;-1;986;G;3;
RandomTrader1;0008;RandomTrader;9999990;10008816;9919998906;0;0,00;-90000093;-0,8991;S;1;-1;991;B;1;
RandomTrader1;0009;RandomTrader;9999989;10009807;9919998906;0;0,00;-90000093;-0,8991;S;1;-1;991;B;1;
RandomTrader1;0010;RandomTrader;9999986;10012780;9919998906;0;0,00;-90000093;-0,8991;S;3;-1;991;b;3;
RandomTrader1;0011;RandomTrader;9999987;10011786;9949998864;0;0,00;-60000135;-0,5994;B;1;-1;994;B;1;
RandomTrader1;0012;RandomTrader;9999988;10010793;9939998877;0;0,00;-70000122;-0,6993;B;1;-1;993;b;1;
RandomTrader1;0013;RandomTrader;9999987;10011802;10099998685;0;0,00;89999686;0,8991;S;1;-1;1009;G;1;
