Handeltag;Innererwert;
1;987;
2;998;
3;983;
4;987;
5;995;
6;992;
7;977;
8;979;
9;967;
10;980;
11;987;
12;1001;
13;1010;
14;997;
15;1010;
16;1018;
17;1032;
18;1022;
19;1024;
20;1011;
21;999;
22;984;
23;970;
24;960;
25;957;
26;957;
27;948;
28;961;
29;961;
30;953;
31;949;
32;955;
33;958;
34;963;
35;956;
36;955;
37;945;
38;952;
39;942;
40;944;
41;947;
42;955;
43;940;
44;943;
45;955;
46;949;
47;938;
48;931;
49;933;
50;927;
51;919;
52;909;
53;920;
54;924;
55;924;
56;936;
57;936;
58;948;
59;953;
60;941;
61;954;
62;946;
63;933;
64;931;
65;924;
66;932;
67;928;
68;940;
69;933;
70;932;
71;924;
72;931;
73;940;
74;932;
75;929;
76;920;
77;914;
78;910;
79;918;
80;912;
81;925;
82;918;
83;924;
84;920;
85;929;
86;942;
87;929;
88;918;
89;928;
90;936;
91;925;
92;933;
93;941;
94;943;
95;930;
96;938;
97;944;
98;954;
99;964;
100;973;
101;985;
102;998;
103;1006;
104;1001;
105;988;
106;981;
107;986;
108;983;
109;989;
110;999;
111;1005;
112;999;
113;1010;
114;998;
115;1012;
116;1003;
117;988;
118;988;
119;978;
120;993;
121;1000;
122;992;
123;997;
124;990;
125;981;
126;967;
127;953;
128;951;
129;952;
130;961;
131;958;
132;969;
133;955;
134;944;
135;959;
136;963;
137;977;
138;967;
139;966;
140;960;
141;963;
142;955;
143;947;
144;934;
145;932;
146;926;
147;933;
148;933;
149;944;
150;950;
151;957;
152;946;
153;932;
154;946;
155;955;
156;941;
157;948;
158;955;
159;968;
160;967;
161;975;
162;970;
163;957;
164;955;
165;944;
166;930;
167;923;
168;910;
169;901;
170;888;
171;888;
172;890;
173;893;
174;894;
175;882;
176;890;
177;901;
178;907;
179;912;
180;912;
181;898;
182;910;
183;913;
184;913;
185;912;
186;899;
187;891;
188;891;
189;902;
190;900;
191;888;
192;880;
193;878;
194;886;
195;877;
196;869;
197;878;
198;887;
199;880;
200;874;
201;872;
202;884;
203;886;
204;888;
205;902;
206;916;
207;902;
208;906;
209;892;
210;904;
211;907;
212;907;
213;903;
214;916;
215;929;
216;938;
217;938;
218;939;
219;926;
220;925;
221;938;
222;947;
223;962;
224;957;
225;965;
226;968;
227;974;
228;963;
229;973;
230;974;
231;985;
232;980;
233;990;
234;983;
235;991;
236;984;
237;977;
238;991;
239;994;
240;1010;
241;998;
242;987;
243;990;
244;982;
245;986;
246;977;
247;992;
248;986;
249;989;
250;992;
251;1007;
252;1018;
253;1021;
254;1037;
255;1044;
256;1047;
257;1049;
258;1049;
259;1042;
260;1032;
261;1020;
262;1031;
263;1037;
264;1033;
265;1023;
266;1020;
267;1013;
268;1014;
269;1023;
270;1015;
271;1003;
272;1014;
273;1015;
274;1021;
275;1032;
276;1029;
277;1031;
278;1031;
279;1035;
280;1028;
281;1031;
282;1042;
283;1044;
284;1039;
285;1025;
286;1017;
287;1033;
288;1019;
289;1024;
290;1019;
291;1020;
292;1024;
293;1025;
294;1026;
295;1020;
296;1005;
297;1008;
298;1000;
299;990;
300;991;
301;1000;
