Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;984.0;0,00;0,00;0,00;
3;978.0;0,0061;1932,00;0,4909;
4;977.0;0,001;7810,00;1,3309;
5;982.0;0,0051;70,00;0,0051;
6;977.0;0,0051;6909,00;0,5025;
7;974.0;0,0031;16537,00;2,418;
8;986.0;0,0122;7190,00;0,3076;
9;991.0;0,0051;10746,00;0,3516;
10;991.0;0,00;5946,00;0,30;
11;991.0;0,00;9910,00;0,7143;
12;994.0;0,003;5892,00;0,2477;
13;993.0;0,001;4983,00;0,2785;
14;1009.0;0,016;1217,00;0,0943;
15;1019.0;0,0099;12088,00;0,8557;
16;1022.0;0,0029;6,00;0,0029;
17;1022.0;0,00;2044,00;1,00;
18;1037.0;0,0146;2014,00;0,4927;
19;1037.0;0,00;3111,00;1,50;
20;1037.0;0,00;9333,00;1,80;
21;1047.0;0,0096;8236,00;0,5673;
22;1053.0;0,0057;36,00;0,0057;
23;1055.0;0,0019;12672,00;2,0057;
24;1049.0;0,0057;108,00;0,0057;
25;1050.0;0,001;3168,00;0,1678;
26;1046.0;0,0038;7406,00;0,3359;
27;1048.0;0,0019;12604,00;0,8607;
28;1042.0;0,0057;10576,00;0,3881;
29;1048.0;0,0057;6192,00;0,3714;
30;1044.0;0,0038;7268,00;0,6935;
31;1033.0;0,0106;7044,00;0,3969;
32;1027.0;0,0058;17603,00;0,71;
33;1026.0;0,001;4111,00;0,5718;
34;1026.0;0,00;0,00;0,00;
35;1029.0;0,0029;1020,00;0,3314;
36;1039.0;0,0097;20,00;0,0097;
37;1032.0;0,0068;11338,00;5,4562;
38;1031.0;0,001;4137,00;0,3084;
39;1025.0;0,0058;2104,00;0,2267;
40;1017.0;0,0078;2995,00;0,4174;
41;979.0;0,0381;8212,00;0,8075;
42;988.0;0,0092;2982,00;1,523;
43;950.0;0,0392;3040,00;0,6154;
44;959.0;0,0094;18,00;0,0095;
45;953.0;0,0063;10471,00;5,4593;
46;962.0;0,0094;10465,00;0,8447;
47;949.0;0,0136;26,00;0,0135;
48;953.0;0,0042;7632,00;4,0211;
49;949.0;0,0042;2887,00;0,3029;
50;950.0;0,0011;13307,00;2,0032;
51;948.0;0,0021;11334,00;0,5681;
52;948.0;0,00;7584,00;0,2424;
53;947.0;0,0011;13233,00;0,5584;
54;955.0;0,0084;2553,00;0,0691;
55;961.0;0,0063;20926,00;0,6087;
56;959.0;0,0021;1890,00;0,1405;
57;965.0;0,0062;2991,00;0,1949;
58;958.0;0,0073;15461,00;0,8433;
59;958.0;0,00;14370,00;5,00;
60;957.0;0,001;3810,00;0,2209;
61;965.0;0,0083;13686,00;0,65;
62;987.0;0,0225;14013,00;0,4034;
63;1009.0;0,022;13664,00;0,6592;
64;1019.0;0,0099;6044,00;0,8557;
65;1020.0;0,001;1021,00;1,002;
66;1027.0;0,0068;1041,00;0,5103;
67;1027.0;0,00;11297,00;3,6667;
68;1033.0;0,0058;3015,00;0,2097;
69;1034.0;0,001;8261,00;0,727;
70;1035.0;0,001;2073,00;0,6683;
71;1041.0;0,0058;1011,00;0,1954;
72;1041.0;0,00;14574,00;3,50;
73;1042.0;0,001;18,00;0,001;
74;1046.0;0,0038;2020,00;0,1077;
75;1042.0;0,0038;22860,00;1,3659;
76;1040.0;0,0019;26076,00;0,6586;
77;1041.0;0,001;15628,00;1,1559;
78;1034.0;0,0067;9110,00;0,3125;
79;1027.0;0,0068;6421,00;0,1678;
80;1023.0;0,0039;4216,00;0,1324;
81;1017.0;0,0059;10332,00;0,3741;
82;1006.0;0,0109;3205,00;0,1854;
83;999.0;0,007;7091,00;0,5035;
84;996.0;0,003;3009,00;0,4303;
85;994.0;0,002;3968,00;0,996;
86;984.0;0,0101;6968,00;0,8763;
87;980.0;0,0041;6856,00;6,9675;
88;975.0;0,0051;3860,00;0,4923;
89;972.0;0,0031;9684,00;0,8277;
90;968.0;0,0041;11704,00;0,5473;
91;964.0;0,0041;22132,00;2,2864;
92;968.0;0,0041;25036,00;0,787;
93;963.0;0,0052;928,00;0,137;
94;958.0;0,0052;3872,00;0,5026;
95;951.0;0,0073;1930,00;0,5037;
96;944.0;0,0074;2818,00;1,4816;
97;937.0;0,0074;902,00;0,1911;
98;933.0;0,0043;957,00;0,1702;
99;929.0;0,0043;21347,00;4,576;
100;922.0;0,0076;1648,00;0,0634;
101;922.0;0,00;28582,00;1,0333;
102;928.0;0,0065;6130,00;0,109;
103;936.0;0,0086;17352,00;0,3463;
104;933.0;0,0032;8502,00;0,2595;
105;935.0;0,0021;6597,00;0,272;
106;933.0;0,0021;2733,00;0,0886;
107;936.0;0,0032;108,00;0,0032;
108;938.0;0,0021;6494,00;0,1927;
109;938.0;0,00;14070,00;0,5172;
110;942.0;0,0043;12070,00;0,2925;
111;939.0;0,0032;16995,00;0,582;
112;936.0;0,0032;4641,00;0,3802;
113;938.0;0,0021;20672,00;1,227;
114;943.0;0,0053;8287,00;0,2209;
115;950.0;0,0074;8333,00;0,2851;
116;956.0;0,0063;1088,00;0,0521;
117;952.0;0,0042;14372,00;0,6536;
118;946.0;0,0063;9412,00;1,2358;
119;949.0;0,0032;7646,00;0,449;
120;958.0;0,0094;5514,00;0,2235;
121;970.0;0,0124;7520,00;0,3925;
122;979.0;0,0092;7724,00;0,6636;
123;989.0;0,0102;2927,00;0,7474;
124;994.0;0,005;23861,00;24,1264;
125;998.0;0,004;5090,00;0,2048;
126;999.0;0,001;21009,00;0,7017;
127;999.0;0,00;30969,00;0,6078;
128;1004.0;0,005;100,00;0,005;
129;1007.0;0,003;37319,00;1,8585;
130;1013.0;0,0059;29035,00;0,5058;
131;1018.0;0,0049;6248,00;0,2203;
132;1019.0;0,001;48946,00;1,4141;
133;1023.0;0,0039;33431,00;0,4001;
134;1024.0;0,001;31793,00;0,6342;
135;1024.0;0,00;29696,00;0,3625;
136;1024.0;0,00;6144,00;0,055;
137;1016.0;0,0078;28544,00;0,2424;
138;1013.0;0,003;83498,00;0,5707;
139;1009.0;0,004;68364,00;1,0885;
140;1004.0;0,005;44826,00;0,3417;
141;1000.0;0,004;6344,00;0,0735;
142;994.0;0,006;20360,00;0,2545;
143;997.0;0,003;31724,00;0,5319;
144;989.0;0,0081;35380,00;1,2674;
145;988.0;0,001;33656,00;0,5317;
146;980.0;0,0081;5140,00;0,1734;
147;970.0;0,0103;5100,00;0,2082;
148;960.0;0,0104;14600,00;0,7526;
149;960.0;0,00;4800,00;1,00;
150;960.0;0,00;960,00;0,00;
151;950.0;0,0105;10,00;0,0104;
152;959.0;0,0094;1927,00;2,0284;
153;949.0;0,0105;30,00;0,0104;
154;939.0;0,0106;1848,00;0,6491;
155;937.0;0,0021;6549,00;1,3949;
156;937.0;0,00;8433,00;0,75;
157;931.0;0,0064;21395,00;7,6112;
158;926.0;0,0054;5686,00;0,2349;
159;923.0;0,0032;40552,00;2,1896;
160;924.0;0,0011;33328,00;0,5642;
161;931.0;0,0075;14665,00;0,1587;
162;930.0;0,0011;48475,00;0,4528;
163;926.0;0,0043;4378,00;0,0747;
164;923.0;0,0032;204,00;0,0032;
165;933.0;0,0108;39866,00;0,6352;
166;955.0;0,0233;31005,00;0,3021;
167;956.0;0,001;63977,00;0,8932;
168;954.0;0,0021;2846,00;0,3721;
169;950.0;0,0042;44,00;0,0042;
170;955.0;0,0052;20110,00;1,9244;
171;956.0;0,001;21000,00;0,6872;
172;963.0;0,0073;6811,00;0,7124;
173;966.0;0,0031;4779,00;0,2919;
174;977.0;0,0113;1822,00;0,1572;
175;991.0;0,0142;7788,00;0,7971;
176;998.0;0,007;14,00;0,0071;
177;1004.0;0,006;5032,00;2,521;
178;1003.0;0,001;57164,00;8,1338;
179;1003.0;0,00;23069,00;0,3594;
180;1004.0;0,001;4057,00;0,0987;
181;997.0;0,007;16634,00;0,3682;
182;998.0;0,001;24888,00;0,4026;
183;998.0;0,00;16966,00;0,4595;
184;995.0;0,003;24042,00;0,4461;
185;997.0;0,002;3928,00;0,1316;
186;990.0;0,007;29518,00;1,1387;
187;990.0;0,00;51480,00;0,9286;
188;989.0;0,001;31644,00;7,9909;
189;985.0;0,0041;16889,00;0,4744;
190;985.0;0,00;11820,00;0,6316;
191;989.0;0,0041;11896,00;1,7253;
192;988.0;0,001;17765,00;0,9454;
193;992.0;0,004;24652,00;0,6744;
194;999.0;0,007;8907,00;0,7482;
195;998.0;0,001;24947,00;8,324;
196;1003.0;0,005;8887,00;0,318;
197;1005.0;0,002;8002,00;0,4199;
198;1011.0;0,006;6000,00;0,5427;
199;1018.0;0,0069;983,00;0,1945;
200;1025.0;0,0069;3103,00;0,762;
201;1030.0;0,0049;24755,00;3,4502;
202;1036.0;0,0058;2922,00;0,0915;
203;1035.0;0,001;17567,00;0,6056;
204;1037.0;0,0019;39496,00;0,848;
