


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
1;0,00
2;-0,0061
3;-0,001
4;0,0051
5;-0,0051
6;-0,0031
7;0,0122
8;0,0051
9;0,00
10;0,00
11;0,003
12;-0,001
13;0,016
14;0,0099
15;0,0029
16;0,00
17;0,0146
18;0,00
19;0,00
20;0,0096
21;0,0057
22;0,0019
23;-0,0057
24;0,001
25;-0,0038
26;0,0019
27;-0,0057
28;0,0057
29;-0,0038
30;-0,0106
31;-0,0058
32;-0,001
33;0,00
34;0,0029
35;0,0097
36;-0,0068
37;-0,001
38;-0,0058
39;-0,0078
40;-0,0381
41;0,0092
42;-0,0392
43;0,0094
44;-0,0063
45;0,0094
46;-0,0136
47;0,0042
48;-0,0042
49;0,0011
50;-0,0021
51;0,00
52;-0,0011
53;0,0084
54;0,0063
55;-0,0021
56;0,0062
57;-0,0073
58;0,00
59;-0,001
60;0,0083
61;0,0225
62;0,022
63;0,0099
64;0,001
65;0,0068
66;0,00
67;0,0058
68;0,001
69;0,001
70;0,0058
71;0,00
72;0,001
73;0,0038
74;-0,0038
75;-0,0019
76;0,001
77;-0,0067
78;-0,0068
79;-0,0039
80;-0,0059
81;-0,0109
82;-0,007
83;-0,003
84;-0,002
85;-0,0101
86;-0,0041
87;-0,0051
88;-0,0031
89;-0,0041
90;-0,0041
91;0,0041
92;-0,0052
93;-0,0052
94;-0,0073
95;-0,0074
96;-0,0074
97;-0,0043
98;-0,0043
99;-0,0076
100;0,00
101;0,0065
102;0,0086
103;-0,0032
104;0,0021
105;-0,0021
106;0,0032
107;0,0021
108;0,00
109;0,0043
110;-0,0032
111;-0,0032
112;0,0021
113;0,0053
114;0,0074
115;0,0063
116;-0,0042
117;-0,0063
118;0,0032
119;0,0094
120;0,0124
121;0,0092
122;0,0102
123;0,005
124;0,004
125;0,001
126;0,00
127;0,005
128;0,003
129;0,0059
130;0,0049
131;0,001
132;0,0039
133;0,001
134;0,00
135;0,00
136;-0,0078
137;-0,003
138;-0,004
139;-0,005
140;-0,004
141;-0,006
142;0,003
143;-0,0081
144;-0,001
145;-0,0081
146;-0,0103
147;-0,0104
148;0,00
149;0,00
150;-0,0105
151;0,0094
152;-0,0105
153;-0,0106
154;-0,0021
155;0,00
156;-0,0064
157;-0,0054
158;-0,0032
159;0,0011
160;0,0075
161;-0,0011
162;-0,0043
163;-0,0032
164;0,0108
165;0,0233
166;0,001
167;-0,0021
168;-0,0042
169;0,0052
170;0,001
171;0,0073
172;0,0031
173;0,0113
174;0,0142
175;0,007
176;0,006
177;-0,001
178;0,00
179;0,001
180;-0,007
181;0,001
182;0,00
183;-0,003
184;0,002
185;-0,007
186;0,00
187;-0,001
188;-0,0041
189;0,00
190;0,0041
191;-0,001
192;0,004
193;0,007
194;-0,001
195;0,005
196;0,002
197;0,006
198;0,0069
199;0,0069
200;0,0049
201;0,0058
202;-0,001
203;0,0019
204;-0,001
205;0,0039
206;0,0048
207;0,00
208;0,0067
209;0,0038
210;0,0057
211;0,00
212;0,0028
213;0,0047
214;0,0037
215;0,0056
216;0,0046
217;0,0046
218;0,0064
219;0,0055
220;0,0054
221;0,0027
222;0,0045
223;0,0062
224;0,0036
225;0,0044
226;0,0044
227;0,0018
228;0,0052
229;0,0044
230;-0,0017
231;-0,0009
232;0,0043
233;-0,0061
234;0,0044
235;0,0043
236;0,0017
237;-0,0061
238;0,0052
239;0,0026
240;0,0052
241;-0,0026
242;-0,0034
243;-0,0078
244;-0,0017
245;-0,0079
246;-0,0106
247;-0,0107
248;-0,0081
249;-0,0073
250;-0,0073
251;-0,0101
252;-0,0102
253;-0,0066
254;-0,0038
255;-0,0057
256;0,0029
257;0,0009
258;0,0009
259;-0,0019
260;-0,0019
261;0,0188
262;-0,0009
263;0,0028
264;0,0093
265;0,0055
266;0,0009
267;-0,0009
268;0,0055
269;0,0127
270;0,0027
271;0,0045
272;0,0027
273;0,0027
274;0,0027
275;0,00
276;-0,008
277;0,0062
278;0,0035
279;0,0062
280;0,007
281;0,0026
282;0,0061
283;0,006
284;0,00
285;0,0069
286;0,0017
287;0,0043
288;-0,0009
289;0,00
290;-0,0068
291;-0,0069
292;-0,0026
293;0,0009
294;0,00
295;0,0017
296;0,0026
297;0,0009
298;-0,0026
299;0,0009



LogRenditen in 5 Tagen Abstand
Nummer;LogRenditen
1;-0,0071
2;0,0142
3;0,0308
4;0,0242
5;-0,001
6;-0,0125
7;0,0058
8;-0,0595
9;-0,0175
10;-0,0147
11;0,0115
12;0,0062
13;0,0623
14;0,0135
15;-0,001
16;-0,0224
17;-0,033
18;-0,0205
19;-0,021
20;-0,0236
21;0,0119
22;0,0064
23;0,0179
24;0,0145
25;0,0295
26;0,0188
27;0,0059
28;-0,0237
29;-0,0202
30;-0,0311
31;-0,0138
32;-0,0064
33;0,0255
34;0,001
35;0,043
36;-0,001
37;-0,007
38;-0,001
39;0,0141
40;0,0266
41;0,0097
42;0,0209
43;0,0168
44;0,0265
45;0,0214
46;0,014
47;0,0061
48;0,0086
49;-0,0234
50;-0,044
51;-0,0364
52;0,001
53;0,0355
54;0,0209
55;0,0125
56;0,015
57;0,0216
58;-0,0017
59;-0,0069



LogRenditen in 10 Tagen Abstand
Nummer;LogRenditen
1;0,0071
2;0,055
3;-0,0135
4;-0,0537
5;-0,0322
6;0,0178
7;0,0758
8;-0,0233
9;-0,0535
10;-0,0445
11;0,0183
12;0,0325
13;0,0483
14;-0,0178
15;-0,0513
16;-0,0202
17;0,0265
18;0,042
19;-0,0081
20;0,0406
21;0,0306
22;0,0433
23;0,0354
24;0,0147
25;-0,0674
26;-0,0355
27;0,0564
28;0,0275
29;0,0199



LogRenditen in 25 Tagen Abstand
Nummer;LogRenditen
1;0,0611
2;-0,0984
3;0,0926
4;-0,1204
5;0,0802
6;-0,0503
7;0,0493
8;0,0316
9;0,0953
10;-0,0387
11;0,0334



LogRenditen in 50 Tagen Abstand
Nummer;LogRenditen
1;-0,0373
2;-0,0278
3;0,0299
4;0,0809
5;0,0566
