#Kurszusatz G: Geld, Kauf>Verkauf;  B: Brief, Kauf<Verkauf;  b: bezahlt, Kauf=Verkauf, T: Taxe, Keine Buy/Sell Order
#Differenz        = Kurs - InnererWert
#DifferenzProzent = (Kurs - InnererWert)*100 / InnererWert 
# AVG: Average 
# NPBW_NP: Not Performed Buy Wish at new Price  = BuyWish at NewPrice - PerformedWish
# NPSW_NP: Not Performed Sell Wish at new Price = SellWish at NewPrice - PerformedWish
# NPBW_NP and NPSW_NP will not get minus value. Minial value is 0.
# 
# NPBW_ALL: Not Performed Buy Wish total = Total BuyWish - PerformedWish
# NPSW_ALL: Not Performed Sell Wish total = Total SellWish - PerformedWish 
#Handeltag;Preis;Kurszusatz;Umsatz;TradeVolume;InnererWert;Differ;DifferProzent;HighestBuyLimit;LowestSellLimit;Differ;DifferProzent;Average;AVGDeviation_BuyLimit;AVGDeviation_SellLimit;MengeAtHighestBuyLimit;VolumeAtHighestBuyLimit;MengeAtLowestSellLimit;VolumeAtLowestSellLimit;Umsatz;TradeVolume;NPBW_NEWPRICE;NPSW_NEWPRICE;NPBW_ALL;NPSW_ALL;BuyLimitH1;Volume1;BuyLimitH2;Volume2;BuyLimitH3;Volume3;BuyLimitH4;Volume4;BuyLimitH5;Volume5;VolumeSum;SellLimitL1;Volume1;SellLimitL2;Volume2;SellLimitL3;Volume3;SellLimitL4;Volume4;SellLimitL5;Volume5;VolumeSum;
1;984,00;b;4,00;3936,00;1000,00;-16,00;-2,00;984,00;990,00;-6,00;-0,6061;987,00;-7,40;17,40;4,00;3936,00;0,00;0,00;4,00;3936,00;0,00;0,00;640,00;665,00;984,00;4,00;980,00;4,00;979,00;2,00;978,00;2,00;977,00;2,00;14,00;990,00;9,00;991,00;12,00;1011,00;2,00;1014,00;4,00;1016,00;4,00;31,00;
2;984,00;B;4,00;3936,00;992,00;-8,00;-1,00;985,00;983,00;2,00;0,2035;984,00;-2,00;16,40;2,00;1970,00;4,00;3932,00;4,00;3936,00;0,00;20,00;640,00;664,00;985,00;2,00;984,00;2,00;982,00;4,00;980,00;2,00;979,00;2,00;12,00;983,00;18,00;984,00;4,00;1010,00;2,00;1011,00;2,00;1014,00;2,00;28,00;
3;978,00;B;6,00;5868,00;1001,00;-23,00;-2,00;980,00;976,00;4,00;0,4098;978,00;-1,20;0,40;2,00;1960,00;6,00;5856,00;6,00;5868,00;0,00;9,00;638,00;662,00;980,00;2,00;979,00;2,00;978,00;2,00;975,00;2,00;972,00;2,00;10,00;976,00;3,00;977,00;6,00;978,00;3,00;979,00;3,00;982,00;3,00;18,00;
4;977,00;B;14,00;13678,00;1002,00;-25,00;-2,00;988,00;968,00;20,00;2,0661;978,00;5,80;-4,20;2,00;1976,00;3,00;2904,00;14,00;13678,00;0,00;18,00;633,00;662,00;988,00;2,00;985,00;2,00;983,00;4,00;982,00;2,00;981,00;2,00;12,00;968,00;3,00;973,00;13,00;975,00;8,00;976,00;5,00;977,00;3,00;32,00;
5;982,00;B;14,00;13748,00;994,00;-12,00;-1,00;989,00;967,00;22,00;2,2751;978,00;3,60;-6,20;2,00;1978,00;6,00;5802,00;14,00;13748,00;0,00;21,00;630,00;665,00;989,00;2,00;985,00;8,00;984,00;2,00;982,00;2,00;968,00;5,00;19,00;967,00;3,00;970,00;8,00;971,00;8,00;975,00;8,00;976,00;5,00;32,00;
6;977,00;B;7,00;6839,00;1012,00;-35,00;-3,00;982,00;975,00;7,00;0,7179;978,50;-1,30;4,50;3,00;2946,00;3,00;2925,00;7,00;6839,00;0,00;2,00;641,00;658,00;982,00;2,00;979,00;2,00;977,00;2,00;975,00;2,00;973,00;4,00;12,00;975,00;3,00;977,00;6,00;978,00;9,00;979,00;3,00;1006,00;2,00;23,00;
7;974,00;B;24,00;23376,00;1023,00;-49,00;-5,00;994,00;967,00;27,00;2,7921;980,50;6,90;-10,30;6,00;5964,00;4,00;3868,00;24,00;23376,00;0,00;2,00;620,00;651,00;994,00;6,00;991,00;2,00;990,00;4,00;988,00;2,00;974,00;10,00;24,00;967,00;3,00;969,00;3,00;970,00;6,00;972,00;3,00;973,00;5,00;20,00;
8;986,00;G;31,00;30566,00;1026,00;-40,00;-4,00;1008,00;966,00;42,00;4,3478;987,00;18,40;-16,60;6,00;6048,00;3,00;2898,00;31,00;30566,00;2,00;0,00;617,00;644,00;1008,00;2,00;1007,00;2,00;1006,00;2,00;1004,00;2,00;1002,00;2,00;10,00;966,00;3,00;970,00;5,00;971,00;5,00;972,00;10,00;973,00;8,00;31,00;
9;991,00;B;20,00;19820,00;1013,00;-22,00;-2,00;1012,00;986,00;26,00;2,6369;999,00;9,20;-10,20;3,00;3036,00;4,00;3944,00;20,00;19820,00;0,00;2,00;625,00;646,00;1012,00;2,00;1011,00;2,00;1010,00;2,00;1005,00;2,00;1003,00;4,00;12,00;986,00;3,00;988,00;3,00;989,00;6,00;990,00;6,00;991,00;3,00;21,00;
10;991,00;B;14,00;13874,00;1027,00;-36,00;-4,00;1000,00;984,00;16,00;1,626;992,00;4,20;-5,20;4,00;4000,00;10,00;9840,00;14,00;13874,00;0,00;11,00;630,00;655,00;1000,00;4,00;998,00;2,00;996,00;2,00;995,00;2,00;992,00;2,00;12,00;984,00;6,00;986,00;3,00;987,00;3,00;988,00;3,00;989,00;6,00;21,00;
