
test result for SPSS tool

Volatility

Runs;random-100.mat;scalefree-100.mat;
RUN-1;46,1518;79,5267;


Distortion

Runs;random-100.mat;scalefree-100.mat;
RUN-1;3,1497;5,9004;


Kurtosis

Runs;random-100.mat;scalefree-100.mat;
RUN-1;7,0270;6,3465;


Skewness

Runs;random-100.mat;scalefree-100.mat;
RUN-1;-0,9078;-0,2811;


Standard_Deviation

Runs;random-100.mat;scalefree-100.mat;
RUN-1;0,0068;0,0089;


Hill_Estimator

Runs;random-100.mat;scalefree-100.mat;
RUN-1;5,0042;5,3667;


Correlation1

Runs;random-100.mat;scalefree-100.mat;
RUN-1;-0,0787;-0,0867;


Correlation2

Runs;random-100.mat;scalefree-100.mat;
RUN-1;-0,0938;-0,0088;


TypeChangeIndicator

Runs;random-100.mat;scalefree-100.mat;
RUN-1;646,0000;381,0000;


