
Summary (result comparation of different networks)

Network;Run-No;Volatility;Distortion;1Day-Kurtosis;Skewness;Standard_Deviation;Hill_Estimator;Correlation1;Correlation2;TypeChangeIndicator;Menge_Sum;Volume_Sum;RunStart;RunEnd;Duration(ms);
random-100.mat;RUN-01;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;16081,0000;17483577,0000;2008-02-27 21:24:52.0;2008-02-27 21:26:53.796;121796
;MIN;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;16081,0000;17483577,0000; -; -; -
;MAX;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;16081,0000;17483577,0000; -; -; -
;AVERAGE;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;16081,0000;17483577,0000; -; -; -
;VARIANCE;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;0,0000;0,0000; -; -; -
;Standard Deviation;?;?;?;?;?;?;?;?;?;0,0000;0,0000; -; -; -

scalefree-100.mat;RUN-01;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;25670,0000;26512929,0000;2008-02-27 21:22:35.5;2008-02-27 21:24:47.578;132078
;MIN;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;25670,0000;26512929,0000; -; -; -
;MAX;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;25670,0000;26512929,0000; -; -; -
;AVERAGE;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;25670,0000;26512929,0000; -; -; -
;VARIANCE;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;0,0000;0,0000; -; -; -
;Standard Deviation;?;?;?;?;?;?;?;?;?;0,0000;0,0000; -; -; -



Comparation of networks


random-100.mat;AVERAGE;46,1518;3,1497;7,0270;-0,9078;0,6797;5,0042;-0,0787;-0,0938;646,0000;16081,0000;17483577,0000; -; -; -
scalefree-100.mat;AVERAGE;79,5267;5,9004;6,3465;-0,2811;0,8897;5,3667;-0,0867;-0,0088;381,0000;25670,0000;26512929,0000; -; -; -


 ;Inner Values;97,0613;0,0000;-1,0835;-0,2236;0,0099;32,8337;  ;  ;  ;
