Tag;Preis;ABS(LogRendite);ABS(Volumeaenderung);ABS(VolumeaenderungsProzent);
2;997.0;0,007;4233,00;0,1205;
3;1004.0;0,007;24313,00;0,7867;
4;994.0;0,01;32358,00;0,586;
5;1002.0;0,008;16216,00;0,7093;
6;1024.0;0,0217;10406,00;0,2663;
7;1006.0;0,0177;12574,00;0,4385;
8;1005.0;0,001;3056,00;0,0741;
9;998.0;0,007;2728,00;0,0714;
10;1000.0;0,002;918,00;0,0224;
11;991.0;0,009;360,00;0,009;
12;996.0;0,005;3188,00;0,0804;
13;1000.0;0,004;12828,00;0,2995;
14;1011.0;0,0109;22572,00;0,7524;
15;1000.0;0,0109;10572,00;0,2011;
16;999.0;0,001;2040,00;0,0486;
17;1022.0;0,0228;9300,00;0,2327;
18;1029.0;0,0068;819,00;0,0267;
19;1024.0;0,0049;9361,00;0,3137;
20;1026.0;0,002;13378,00;0,6532;
21;1016.0;0,0098;6782,00;0,2003;
22;1013.0;0,003;120,00;0,003;
23;1011.0;0,002;80,00;0,002;
24;999.0;0,0119;5475,00;0,1354;
25;993.0;0,006;14685,00;0,42;
26;993.0;0,00;12909,00;0,26;
27;996.0;0,003;29691,00;0,4746;
28;1000.0;0,004;2868,00;0,0873;
29;997.0;0,003;15862,00;0,5287;
30;994.0;0,003;9084,00;0,1981;
31;992.0;0,002;918,00;0,025;
32;992.0;0,00;19840,00;0,5263;
33;988.0;0,004;1904,00;0,1066;
34;987.0;0,001;24655,00;1,2477;
35;984.0;0,003;20529,00;0,4622;
36;991.0;0,0071;56025,00;0,8627;
37;986.0;0,0051;15731,00;1,7638;
38;984.0;0,002;23566,00;0,956;
39;988.0;0,0041;13636,00;0,2828;
40;986.0;0,002;15706,00;0,4542;
41;983.0;0,003;12626,00;0,2511;
42;992.0;0,0091;25216,00;0,4008;
43;991.0;0,001;953,00;0,0253;
44;978.0;0,0132;2463,00;0,0637;
45;979.0;0,001;9753,00;0,2695;
46;979.0;0,00;5874,00;0,2222;
47;979.0;0,00;4895,00;0,1515;
48;975.0;0,0041;25238,00;0,9207;
49;993.0;0,0183;972,00;0,0185;
50;989.0;0,004;20985,00;0,3914;
51;996.0;0,0071;4215,00;0,1291;
52;1008.0;0,012;18708,00;0,5077;
53;1016.0;0,0079;7256,00;0,3999;
54;1009.0;0,0069;16978,00;0,6684;
55;995.0;0,014;14337,00;0,3383;
56;999.0;0,004;8763,00;0,1545;
57;1007.0;0,008;32847,00;0,685;
58;996.0;0,011;26727,00;1,7694;
59;1005.0;0,009;13692,00;0,3273;
60;999.0;0,006;3165,00;0,1125;
61;1005.0;0,006;10200,00;0,4084;
62;1000.0;0,005;24825,00;0,7058;
63;1006.0;0,006;34850,00;0,5808;
64;1009.0;0,003;3961,00;0,1575;
65;1015.0;0,0059;889,00;0,042;
66;1004.0;0,0109;24880,00;1,2256;
67;1006.0;0,002;20030,00;0,4433;
68;1007.0;0,001;17144,00;0,6817;
69;996.0;0,011;14478,00;0,3423;
70;994.0;0,002;11048,00;0,1946;
71;993.0;0,001;23878,00;0,5222;
72;982.0;0,0111;2704,00;0,1238;
73;991.0;0,0091;5180,00;0,211;
74;979.0;0,0122;4276,00;0,1438;
75;973.0;0,0061;5682,00;0,2232;
76;971.0;0,0021;6733,00;0,2162;
77;968.0;0,0031;3755,00;0,0992;
78;958.0;0,0104;20548,00;0,4937;
79;949.0;0,0094;2649,00;0,1257;
80;945.0;0,0042;8405,00;0,3543;
81;952.0;0,0074;15470,00;0,4815;
82;945.0;0,0074;23975,00;0,5037;
83;939.0;0,0064;28020,00;1,186;
84;970.0;0,0325;6555,00;0,1269;
85;968.0;0,0021;11736,00;0,2016;
86;968.0;0,00;0,00;0,00;
87;966.0;0,0021;27144,00;0,5842;
88;963.0;0,0031;4755,00;0,2461;
89;961.0;0,0021;4855,00;0,2017;
90;966.0;0,0052;24250,00;1,2617;
91;967.0;0,001;10682,00;0,2457;
92;973.0;0,0062;13286,00;0,2453;
93;971.0;0,0021;2829,00;0,0692;
94;961.0;0,0104;23514,00;0,5381;
95;968.0;0,0073;4019,00;0,1991;
96;970.0;0,0021;28180,00;1,1645;
97;979.0;0,0092;15178,00;0,2898;
98;978.0;0,001;10720,00;0,2882;
99;981.0;0,0031;13587,00;0,2835;
100;975.0;0,0061;210,00;0,0061;
101;977.0;0,002;11794,00;0,3456;
102;982.0;0,0051;16459,00;0,3584;
103;984.0;0,002;3996,00;0,1356;
104;967.0;0,0174;5224,00;0,1561;
105;958.0;0,0094;14730,00;0,3808;
106;966.0;0,0083;17588,00;0,7344;
107;956.0;0,0104;22418,00;0,5397;
108;959.0;0,0031;24994,00;1,3072;
109;964.0;0,0052;10374,00;0,2352;
110;965.0;0,001;18370,00;0,5445;
111;960.0;0,0052;17550,00;0,3368;
112;967.0;0,0073;7021,00;0,2032;
113;964.0;0,0031;1799,00;0,0433;
114;967.0;0,0031;19205,00;0,4427;
115;965.0;0,0021;20215,00;0,8362;
116;970.0;0,0052;9930,00;0,2237;
117;975.0;0,0051;23120,00;0,4256;
118;965.0;0,0103;13830,00;0,4433;
119;976.0;0,0113;2150,00;0,1238;
120;968.0;0,0082;24040,00;1,2316;
121;972.0;0,0041;14400,00;0,3306;
122;985.0;0,0133;12210,00;0,4187;
123;998.0;0,0131;6440,00;0,1557;
124;1005.0;0,007;4780,00;0,1368;
125;1000.0;0,005;150,00;0,005;
126;990.0;0,0101;9600,00;0,32;
127;990.0;0,00;4950,00;0,125;
128;981.0;0,0091;1557,00;0,0349;
129;984.0;0,0031;13635,00;0,2957;
130;987.0;0,003;7797,00;0,2401;
131;983.0;0,0041;7764,00;0,3147;
132;984.0;0,001;1935,00;0,0597;
133;1000.0;0,0161;10504,00;0,3443;
134;999.0;0,001;14965,00;0,7482;
135;1002.0;0,003;6909,00;0,1976;
136;1007.0;0,005;2881,00;0,1027;
137;1016.0;0,0089;3839,00;0,1525;
138;1002.0;0,0139;24756,00;1,1603;
139;1020.0;0,0178;25692,00;0,5574;
140;1009.0;0,0108;33077,00;1,6214;
141;1003.0;0,006;18372,00;0,3435;
142;1001.0;0,002;931,00;0,0265;
143;997.0;0,004;6126,00;0,17;
144;996.0;0,001;14910,00;0,4985;
145;1000.0;0,004;14820,00;0,3307;
146;991.0;0,009;3694,00;0,1231;
147;980.0;0,0112;8446,00;0,2507;
148;977.0;0,0031;9899,00;0,2349;
149;976.0;0,001;1919,00;0,0595;
150;969.0;0,0072;2183,00;0,0639;
151;970.0;0,001;12577,00;0,3933;
152;974.0;0,0041;10794,00;0,5564;
153;967.0;0,0072;1184,00;0,0392;
154;959.0;0,0083;240,00;0,0083;
155;963.0;0,0042;9750,00;0,3389;
156;968.0;0,0052;2704,00;0,0702;
157;970.0;0,0021;6716,00;0,1875;
158;980.0;0,0103;23820,00;0,8186;
159;977.0;0,0031;20679,00;0,3908;
160;986.0;0,0092;1675,00;0,052;
161;979.0;0,0071;5657,00;0,1851;
