


LogRenditen in 1 Tagen Abstand
Nummer;LogRenditen
1;-0,007
2;0,007
3;-0,01
4;0,008
5;0,0217
6;-0,0177
7;-0,001
8;-0,007
9;0,002
10;-0,009
11;0,005
12;0,004
13;0,0109
14;-0,0109
15;-0,001
16;0,0228
17;0,0068
18;-0,0049
19;0,002
20;-0,0098
21;-0,003
22;-0,002
23;-0,0119
24;-0,006
25;0,00
26;0,003
27;0,004
28;-0,003
29;-0,003
30;-0,002
31;0,00
32;-0,004
33;-0,001
34;-0,003
35;0,0071
36;-0,0051
37;-0,002
38;0,0041
39;-0,002
40;-0,003
41;0,0091
42;-0,001
43;-0,0132
44;0,001
45;0,00
46;0,00
47;-0,0041
48;0,0183
49;-0,004
50;0,0071
51;0,012
52;0,0079
53;-0,0069
54;-0,014
55;0,004
56;0,008
57;-0,011
58;0,009
59;-0,006
60;0,006
61;-0,005
62;0,006
63;0,003
64;0,0059
65;-0,0109
66;0,002
67;0,001
68;-0,011
69;-0,002
70;-0,001
71;-0,0111
72;0,0091
73;-0,0122
74;-0,0061
75;-0,0021
76;-0,0031
77;-0,0104
78;-0,0094
79;-0,0042
80;0,0074
81;-0,0074
82;-0,0064
83;0,0325
84;-0,0021
85;0,00
86;-0,0021
87;-0,0031
88;-0,0021
89;0,0052
90;0,001
91;0,0062
92;-0,0021
93;-0,0104
94;0,0073
95;0,0021
96;0,0092
97;-0,001
98;0,0031
99;-0,0061
100;0,002
101;0,0051
102;0,002
103;-0,0174
104;-0,0094
105;0,0083
106;-0,0104
107;0,0031
108;0,0052
109;0,001
110;-0,0052
111;0,0073
112;-0,0031
113;0,0031
114;-0,0021
115;0,0052
116;0,0051
117;-0,0103
118;0,0113
119;-0,0082
120;0,0041
121;0,0133
122;0,0131
123;0,007
124;-0,005
125;-0,0101
126;0,00
127;-0,0091
128;0,0031
129;0,003
130;-0,0041
131;0,001
132;0,0161
133;-0,001
134;0,003
135;0,005
136;0,0089
137;-0,0139
138;0,0178
139;-0,0108
140;-0,006
141;-0,002
142;-0,004
143;-0,001
144;0,004
145;-0,009
146;-0,0112
147;-0,0031
148;-0,001
149;-0,0072
150;0,001
151;0,0041
152;-0,0072
153;-0,0083
154;0,0042
155;0,0052
156;0,0021
157;0,0103
158;-0,0031
159;0,0092
160;-0,0071
161;0,0092
162;-0,003
163;0,0051
164;-0,0051
165;0,00
166;-0,0092
167;-0,001
168;-0,0031
169;0,0092
170;-0,0072
171;0,0041
172;0,0092
173;0,0081
174;0,002
175;0,00
176;0,006
177;0,003
178;0,001
179;-0,001
180;0,0207
181;-0,0108
182;0,0039
183;-0,0079
184;0,0039
185;-0,0069
186;-0,012
187;-0,0081
188;0,00
189;-0,0041
190;-0,0061
191;-0,001
192;0,0031
193;-0,0031
194;-0,001
195;-0,0072
196;0,0082
197;0,002
198;-0,0113
199;0,0041
200;0,0021
201;0,001
202;-0,0031
203;0,0092
204;-0,0102
205;0,00
206;-0,0021
207;0,0092
208;-0,0103
209;-0,001
210;0,0041
211;0,0031
212;0,0072
213;0,0071
214;-0,0051
215;0,0171
216;-0,011
217;0,008
218;-0,002
219;0,006
220;0,006
221;-0,008
222;0,009
223;-0,006
224;-0,007
225;-0,003
226;-0,003
227;0,001
228;0,009
229;-0,004
230;0,003
231;-0,001
232;-0,001
233;-0,007
234;-0,0061
235;0,0061
236;-0,0071
237;0,00
238;-0,0051
239;0,0031
240;-0,002
241;-0,0041
242;0,0041
243;-0,0061
244;-0,0072
245;-0,0104
246;0,0073
247;-0,0063
248;0,001
249;0,0083
250;-0,0041
251;0,00
252;-0,0021
253;0,0114
254;0,001
255;0,001
256;0,0082
257;-0,001
258;0,0041
259;0,0051
260;0,0071
261;0,006
262;-0,006
263;-0,001
264;0,00
265;0,009
266;-0,007
267;-0,001
268;0,005
269;-0,008
270;-0,0091
271;0,0071
272;0,002
273;0,011
274;0,001
275;-0,008
276;0,002
277;0,002
278;0,001
279;0,0158
280;-0,0099
281;0,0099
282;0,00
283;0,0029
284;-0,001
285;0,0029
286;-0,0079
287;-0,0059
288;-0,006
289;0,002
290;-0,007
291;0,005
292;0,002
293;0,0079
294;-0,0119
295;0,006
296;-0,001
297;-0,008
298;-0,0121
299;0,003
300;-0,0102
301;-0,0031
302;-0,0021
303;0,0061
304;-0,0072
305;0,0021
306;-0,0082
307;0,0062
308;0,0061
309;0,0081
310;-0,0061
311;-0,001
312;-0,0031
313;0,0031
314;-0,0082
315;0,00
316;0,0153
317;-0,002
318;0,00
319;-0,002
320;-0,0051
321;0,001
322;0,0031
323;-0,0082
324;0,0112
325;0,002
326;0,0091
327;-0,001
328;0,00
329;0,001
330;-0,001
331;0,007
332;-0,004
333;0,003
334;0,005
335;0,0099
336;-0,0109
337;-0,001
338;0,005
339;-0,004
340;-0,001
