#Kurszusatz G: Geld, Kauf>Verkauf;  B: Brief, Kauf<Verkauf;  b: bezahlt, Kauf=Verkauf, T: Taxe, Keine Buy/Sell Order
#Differenz        = Kurs - InnererWert
#DifferenzProzent = (Kurs - InnererWert)*100 / InnererWert 
# AVG: Average 
# NPBW_NP: Not Performed Buy Wish at new Price  = BuyWish at NewPrice - PerformedWish
# NPSW_NP: Not Performed Sell Wish at new Price = SellWish at NewPrice - PerformedWish
# NPBW_NP and NPSW_NP will not get minus value. Minial value is 0.
# 
# NPBW_ALL: Not Performed Buy Wish total = Total BuyWish - PerformedWish
# NPSW_ALL: Not Performed Sell Wish total = Total SellWish - PerformedWish 
#Handeltag;Preis;Kurszusatz;Umsatz;TradeVolume;InnererWert;Differ;DifferProzent;HighestBuyLimit;LowestSellLimit;Differ;DifferProzent;Average;AVGDeviation_BuyLimit;AVGDeviation_SellLimit;MengeAtHighestBuyLimit;VolumeAtHighestBuyLimit;MengeAtLowestSellLimit;VolumeAtLowestSellLimit;Umsatz;TradeVolume;NPBW_NEWPRICE;NPSW_NEWPRICE;NPBW_ALL;NPSW_ALL;BuyLimitH1;Volume1;BuyLimitH2;Volume2;BuyLimitH3;Volume3;BuyLimitH4;Volume4;BuyLimitH5;Volume5;VolumeSum;SellLimitL1;Volume1;SellLimitL2;Volume2;SellLimitL3;Volume3;SellLimitL4;Volume4;SellLimitL5;Volume5;VolumeSum;
1;1004,00;B;35,00;35140,00;1000,00;4,00;0,00;1014,00;981,00;33,00;3,3639;997,50;4,90;-4,70;5,00;5070,00;11,00;10791,00;35,00;35140,00;0,00;6,00;645,00;649,00;1014,00;5,00;1011,00;5,00;1004,00;25,00;993,00;10,00;990,00;10,00;55,00;981,00;5,00;988,00;5,00;992,00;5,00;1000,00;10,00;1003,00;5,00;30,00;
2;997,00;G;31,00;30907,00;1010,00;-13,00;-1,00;1032,00;977,00;55,00;5,6295;1004,50;4,70;-12,90;5,00;5160,00;7,00;6839,00;31,00;30907,00;4,00;0,00;649,00;653,00;1032,00;5,00;1011,00;10,00;1002,00;5,00;1001,00;5,00;1000,00;5,00;30,00;977,00;5,00;993,00;4,00;995,00;5,00;996,00;10,00;997,00;5,00;29,00;
3;1004,00;B;55,00;55220,00;1007,00;-3,00;0,00;1038,00;982,00;56,00;5,7026;1010,00;16,80;-12,60;5,00;5190,00;18,00;17676,00;55,00;55220,00;0,00;1,00;620,00;641,00;1038,00;5,00;1037,00;5,00;1032,00;5,00;1016,00;20,00;1011,00;10,00;45,00;982,00;5,00;997,00;10,00;1001,00;18,00;1003,00;5,00;1004,00;5,00;43,00;
4;994,00;G;23,00;22862,00;1016,00;-22,00;-2,00;1008,00;981,00;27,00;2,7523;994,50;4,70;-4,70;5,00;5040,00;5,00;4905,00;23,00;22862,00;2,00;0,00;662,00;663,00;1008,00;5,00;1003,00;5,00;998,00;10,00;994,00;5,00;993,00;5,00;30,00;981,00;5,00;989,00;5,00;991,00;5,00;993,00;8,00;995,00;5,00;28,00;
5;1002,00;G;39,00;39078,00;1023,00;-21,00;-2,00;1029,00;984,00;45,00;4,5732;1006,50;11,50;-12,90;5,00;5145,00;11,00;10824,00;39,00;39078,00;1,00;0,00;636,00;658,00;1029,00;5,00;1023,00;5,00;1017,00;5,00;1013,00;5,00;1008,00;10,00;30,00;984,00;5,00;994,00;8,00;995,00;5,00;996,00;5,00;999,00;5,00;28,00;
6;1024,00;G;28,00;28672,00;1009,00;15,00;1,00;1051,00;1002,00;49,00;4,8902;1026,50;6,70;-18,90;11,00;11561,00;8,00;8016,00;28,00;28672,00;3,00;0,00;660,00;650,00;1051,00;5,00;1038,00;5,00;1030,00;10,00;1024,00;5,00;1023,00;5,00;30,00;1002,00;8,00;1007,00;5,00;1008,00;5,00;1009,00;5,00;1012,00;5,00;28,00;
7;1006,00;B;41,00;41246,00;1003,00;3,00;0,00;1035,00;979,00;56,00;5,7201;1007,00;20,40;-14,00;8,00;8280,00;12,00;11748,00;41,00;41246,00;0,00;11,00;650,00;637,00;1035,00;8,00;1034,00;5,00;1032,00;5,00;1025,00;5,00;1011,00;8,00;31,00;979,00;10,00;992,00;5,00;997,00;5,00;998,00;10,00;999,00;10,00;40,00;
8;1005,00;G;38,00;38190,00;1000,00;5,00;1,00;1024,00;979,00;45,00;4,5965;1001,50;13,90;-7,10;20,00;20480,00;5,00;4895,00;38,00;38190,00;2,00;0,00;657,00;640,00;1024,00;5,00;1019,00;5,00;1018,00;5,00;1011,00;5,00;1005,00;5,00;25,00;979,00;5,00;996,00;5,00;997,00;5,00;998,00;18,00;1002,00;5,00;38,00;
9;998,00;G;41,00;40918,00;998,00;0,00;0,00;1011,00;975,00;36,00;3,6923;993,00;14,00;-5,80;18,00;18198,00;11,00;10725,00;41,00;40918,00;7,00;0,00;647,00;643,00;1011,00;10,00;1010,00;5,00;1009,00;5,00;1006,00;5,00;999,00;5,00;30,00;975,00;5,00;987,00;5,00;988,00;5,00;992,00;5,00;994,00;10,00;30,00;
10;1000,00;B;40,00;40000,00;996,00;4,00;0,00;1021,00;981,00;40,00;4,0775;1001,00;6,40;-7,80;5,00;5105,00;14,00;13734,00;40,00;40000,00;0,00;4,00;635,00;652,00;1021,00;5,00;1006,00;5,00;1005,00;5,00;1003,00;5,00;1002,00;10,00;30,00;981,00;5,00;989,00;5,00;997,00;5,00;999,00;5,00;1000,00;15,00;35,00;
11;991,00;B;40,00;39640,00;1000,00;-9,00;-1,00;1025,00;980,00;45,00;4,5918;1002,50;1,90;-14,90;5,00;5125,00;13,00;12740,00;40,00;39640,00;0,00;6,00;637,00;651,00;1025,00;5,00;1004,00;10,00;1002,00;5,00;997,00;5,00;994,00;5,00;30,00;980,00;5,00;988,00;5,00;989,00;15,00;990,00;5,00;991,00;8,00;38,00;
12;996,00;G;43,00;42828,00;1001,00;-5,00;0,00;1029,00;975,00;54,00;5,5385;1002,00;11,60;-20,00;15,00;15435,00;5,00;4875,00;43,00;42828,00;7,00;0,00;642,00;640,00;1029,00;5,00;1017,00;5,00;1014,00;5,00;1008,00;10,00;1000,00;5,00;30,00;975,00;5,00;978,00;5,00;982,00;10,00;985,00;8,00;990,00;5,00;33,00;
13;1000,00;G;30,00;30000,00;1008,00;-8,00;-1,00;1018,00;988,00;30,00;3,0364;1003,00;2,60;-8,20;17,00;17306,00;5,00;4940,00;30,00;30000,00;2,00;0,00;657,00;653,00;1018,00;5,00;1008,00;5,00;1005,00;5,00;1000,00;5,00;997,00;10,00;30,00;988,00;5,00;991,00;5,00;996,00;10,00;999,00;5,00;1000,00;5,00;30,00;
14;1011,00;B;52,00;52572,00;1006,00;5,00;0,00;1035,00;982,00;53,00;5,3971;1008,50;14,90;-13,30;7,00;7245,00;8,00;7856,00;52,00;52572,00;0,00;4,00;625,00;634,00;1035,00;5,00;1032,00;5,00;1023,00;5,00;1014,00;10,00;1013,00;5,00;30,00;982,00;5,00;990,00;5,00;1000,00;5,00;1001,00;10,00;1003,00;5,00;30,00;
15;1000,00;B;42,00;42000,00;1012,00;-12,00;-1,00;1016,00;977,00;39,00;3,9918;996,50;11,90;-10,10;5,00;5080,00;7,00;6839,00;42,00;42000,00;0,00;5,00;645,00;638,00;1016,00;5,00;1009,00;10,00;1008,00;5,00;1005,00;5,00;1004,00;5,00;30,00;977,00;5,00;979,00;5,00;981,00;5,00;997,00;10,00;998,00;10,00;35,00;
16;999,00;B;40,00;39960,00;1019,00;-20,00;-2,00;1024,00;987,00;37,00;3,7487;1005,50;7,90;-13,90;5,00;5120,00;10,00;9870,00;40,00;39960,00;0,00;3,00;638,00;648,00;1024,00;5,00;1018,00;5,00;1012,00;5,00;1010,00;5,00;1003,00;10,00;30,00;987,00;5,00;990,00;13,00;991,00;5,00;992,00;5,00;998,00;10,00;38,00;
17;1022,00;G;30,00;30660,00;1021,00;1,00;0,00;1044,00;989,00;55,00;5,5612;1016,50;16,50;-16,50;5,00;5220,00;7,00;6923,00;30,00;30660,00;5,00;0,00;651,00;660,00;1044,00;5,00;1033,00;5,00;1031,00;5,00;1029,00;5,00;1028,00;5,00;25,00;989,00;7,00;990,00;5,00;994,00;10,00;996,00;8,00;1031,00;5,00;35,00;
18;1029,00;B;29,00;29841,00;1017,00;12,00;1,00;1040,00;1001,00;39,00;3,8961;1020,50;11,10;-3,70;8,00;8320,00;5,00;5005,00;29,00;29841,00;0,00;1,00;670,00;636,00;1040,00;5,00;1032,00;6,00;1030,00;5,00;1029,00;10,00;1027,00;5,00;31,00;1001,00;5,00;1010,00;5,00;1020,00;10,00;1024,00;5,00;1029,00;5,00;30,00;
19;1024,00;G;20,00;20480,00;1011,00;13,00;1,00;1038,00;1013,00;25,00;2,4679;1025,50;3,10;-0,10;5,00;5190,00;5,00;5065,00;20,00;20480,00;13,00;0,00;673,00;655,00;1038,00;5,00;1034,00;8,00;1026,00;5,00;1024,00;15,00;1021,00;5,00;38,00;1013,00;5,00;1018,00;15,00;1026,00;5,00;1033,00;10,00;1037,00;10,00;45,00;
20;1026,00;B;33,00;33858,00;1003,00;23,00;2,00;1036,00;995,00;41,00;4,1206;1015,50;16,70;-7,10;5,00;5180,00;5,00;4975,00;33,00;33858,00;0,00;7,00;665,00;636,00;1036,00;5,00;1035,00;5,00;1034,00;13,00;1030,00;5,00;1026,00;5,00;33,00;995,00;5,00;1003,00;5,00;1007,00;5,00;1015,00;15,00;1022,00;10,00;40,00;
21;1016,00;b;40,00;40640,00;1004,00;12,00;1,00;1032,00;974,00;58,00;5,9548;1003,00;22,20;-8,00;5,00;5160,00;5,00;4870,00;40,00;40640,00;0,00;0,00;666,00;625,00;1032,00;5,00;1026,00;5,00;1024,00;5,00;1023,00;10,00;1021,00;5,00;30,00;974,00;5,00;993,00;10,00;999,00;10,00;1004,00;5,00;1005,00;5,00;35,00;
22;1013,00;B;40,00;40520,00;1003,00;10,00;1,00;1017,00;969,00;48,00;4,9536;993,00;22,00;-11,60;10,00;10170,00;5,00;4845,00;40,00;40520,00;0,00;30,00;655,00;633,00;1017,00;5,00;1016,00;10,00;1015,00;10,00;1014,00;5,00;1013,00;5,00;35,00;969,00;5,00;975,00;5,00;981,00;5,00;988,00;10,00;994,00;10,00;35,00;
23;1011,00;B;40,00;40440,00;995,00;16,00;2,00;1027,00;981,00;46,00;4,6891;1004,00;15,80;-11,80;5,00;5135,00;5,00;4905,00;40,00;40440,00;0,00;18,00;648,00;638,00;1027,00;5,00;1024,00;5,00;1017,00;5,00;1016,00;5,00;1015,00;5,00;25,00;981,00;5,00;987,00;5,00;994,00;5,00;999,00;5,00;1000,00;10,00;30,00;
24;999,00;B;35,00;34965,00;996,00;3,00;0,00;1020,00;976,00;44,00;4,5082;998,00;8,20;-12,00;5,00;5100,00;5,00;4880,00;35,00;34965,00;0,00;5,00;645,00;657,00;1020,00;5,00;1007,00;5,00;1003,00;5,00;1002,00;5,00;999,00;15,00;35,00;976,00;5,00;980,00;5,00;985,00;5,00;994,00;5,00;995,00;10,00;30,00;
25;993,00;B;50,00;49650,00;1002,00;-9,00;-1,00;1022,00;971,00;51,00;5,2523;996,50;13,70;-15,10;5,00;5110,00;12,00;11652,00;50,00;49650,00;0,00;15,00;620,00;653,00;1022,00;5,00;1021,00;5,00;1004,00;5,00;1003,00;5,00;1001,00;10,00;30,00;971,00;5,00;972,00;5,00;987,00;5,00;988,00;5,00;989,00;13,00;33,00;
26;993,00;G;63,00;62559,00;999,00;-6,00;-1,00;1024,00;970,00;54,00;5,567;997,00;15,80;-17,60;5,00;5120,00;5,00;4850,00;63,00;62559,00;2,00;0,00;611,00;630,00;1024,00;5,00;1015,00;5,00;1014,00;5,00;1007,00;5,00;1004,00;5,00;25,00;970,00;5,00;979,00;5,00;981,00;5,00;983,00;8,00;984,00;5,00;28,00;
27;996,00;B;33,00;32868,00;1004,00;-8,00;-1,00;1006,00;977,00;29,00;2,9683;991,50;9,30;-3,30;13,00;13078,00;5,00;4885,00;33,00;32868,00;0,00;10,00;640,00;660,00;1006,00;5,00;1002,00;5,00;1001,00;5,00;999,00;5,00;996,00;5,00;25,00;977,00;5,00;985,00;5,00;992,00;5,00;993,00;5,00;994,00;5,00;25,00;
28;1000,00;B;30,00;30000,00;993,00;7,00;1,00;1024,00;985,00;39,00;3,9594;1004,50;2,30;-15,30;5,00;5120,00;11,00;10835,00;30,00;30000,00;0,00;16,00;643,00;666,00;1024,00;5,00;1005,00;5,00;1003,00;10,00;1002,00;5,00;1000,00;5,00;30,00;985,00;8,00;986,00;5,00;990,00;5,00;992,00;5,00;993,00;5,00;28,00;
29;997,00;B;46,00;45862,00;1001,00;-4,00;0,00;1018,00;976,00;42,00;4,3033;997,00;5,00;-11,20;16,00;16288,00;5,00;4880,00;46,00;45862,00;0,00;9,00;632,00;647,00;1018,00;10,00;1006,00;5,00;999,00;5,00;997,00;20,00;990,00;7,00;47,00;976,00;5,00;983,00;10,00;989,00;5,00;990,00;5,00;991,00;5,00;30,00;
30;994,00;b;37,00;36778,00;996,00;-2,00;0,00;1021,00;985,00;36,00;3,6548;1003,00;0,40;-14,60;12,00;12252,00;5,00;4925,00;37,00;36778,00;0,00;0,00;635,00;660,00;1021,00;5,00;1011,00;5,00;1001,00;10,00;994,00;10,00;990,00;10,00;40,00;985,00;5,00;987,00;4,00;989,00;8,00;990,00;10,00;991,00;5,00;32,00;
31;992,00;b;38,00;37696,00;994,00;-2,00;0,00;1016,00;965,00;51,00;5,285;990,50;9,70;-9,70;5,00;5080,00;8,00;7720,00;38,00;37696,00;0,00;0,00;635,00;658,00;1016,00;5,00;1004,00;5,00;995,00;10,00;994,00;13,00;992,00;5,00;38,00;965,00;5,00;981,00;5,00;983,00;5,00;984,00;10,00;991,00;5,00;30,00;
32;992,00;B;18,00;17856,00;998,00;-6,00;-1,00;1025,00;973,00;52,00;5,3443;999,00;0,60;-13,80;5,00;5125,00;7,00;6811,00;18,00;17856,00;0,00;34,00;645,00;682,00;1025,00;5,00;1004,00;10,00;992,00;3,00;990,00;5,00;987,00;5,00;28,00;973,00;5,00;980,00;5,00;990,00;5,00;991,00;10,00;992,00;25,00;50,00;
33;988,00;B;20,00;19760,00;1001,00;-13,00;-1,00;1021,00;966,00;55,00;5,6936;993,50;-2,90;-13,50;5,00;5105,00;5,00;4830,00;20,00;19760,00;0,00;38,00;640,00;688,00;1021,00;5,00;1000,00;10,00;988,00;5,00;975,00;5,00;969,00;15,00;40,00;966,00;5,00;981,00;5,00;982,00;20,00;985,00;10,00;986,00;13,00;53,00;
34;987,00;B;45,00;44415,00;996,00;-9,00;-1,00;1020,00;977,00;43,00;4,4012;998,50;5,50;-18,30;5,00;5100,00;9,00;8793,00;45,00;44415,00;0,00;10,00;615,00;665,00;1020,00;5,00;1010,00;5,00;1001,00;5,00;1000,00;15,00;989,00;10,00;40,00;977,00;5,00;978,00;8,00;980,00;5,00;982,00;5,00;984,00;5,00;28,00;
