Handeltag;Innererwert;
1;1136;
2;1126;
3;1130;
4;1127;
5;1134;
6;1123;
7;1118;
8;1119;
9;1125;
10;1119;
11;1124;
12;1119;
13;1121;
14;1125;
15;1124;
16;1121;
17;1114;
18;1102;
19;1100;
20;1106;
21;1110;
22;1111;
23;1108;
24;1114;
25;1120;
26;1110;
27;1113;
28;1106;
29;1114;
30;1124;
31;1131;
32;1124;
33;1113;
34;1115;
35;1111;
36;1109;
37;1106;
38;1097;
39;1090;
40;1088;
41;1077;
42;1078;
43;1078;
44;1075;
45;1076;
46;1065;
47;1073;
48;1077;
49;1073;
50;1064;
51;1066;
52;1070;
53;1066;
54;1067;
55;1067;
56;1076;
57;1065;
58;1062;
59;1064;
60;1067;
61;1067;
62;1067;
63;1077;
64;1082;
65;1080;
66;1091;
67;1081;
68;1074;
69;1085;
70;1085;
71;1087;
72;1081;
73;1086;
74;1087;
75;1084;
76;1091;
77;1084;
78;1073;
79;1076;
80;1086;
81;1075;
82;1073;
83;1079;
84;1087;
85;1088;
86;1082;
87;1077;
88;1086;
89;1091;
90;1087;
91;1081;
92;1077;
93;1070;
94;1063;
95;1070;
96;1069;
97;1073;
98;1073;
99;1072;
100;1076;
101;1086;
102;1082;
103;1082;
104;1074;
105;1080;
106;1080;
107;1075;
108;1078;
109;1084;
110;1084;
111;1085;
112;1077;
113;1066;
114;1072;
115;1068;
116;1074;
117;1076;
118;1083;
119;1092;
120;1102;
121;1103;
122;1103;
123;1103;
124;1110;
125;1114;
126;1126;
127;1114;
128;1114;
129;1122;
130;1121;
131;1110;
132;1113;
133;1121;
134;1122;
135;1120;
136;1132;
137;1143;
138;1149;
139;1159;
140;1158;
141;1150;
142;1150;
143;1145;
144;1143;
145;1149;
146;1146;
147;1140;
148;1136;
149;1144;
150;1149;
151;1149;
152;1150;
153;1142;
154;1137;
155;1144;
156;1149;
157;1141;
158;1130;
159;1134;
160;1125;
161;1125;
162;1125;
163;1115;
164;1106;
165;1105;
166;1110;
167;1106;
168;1100;
169;1090;
170;1083;
171;1086;
172;1076;
173;1086;
174;1079;
175;1086;
176;1096;
177;1089;
178;1088;
179;1087;
180;1093;
181;1083;
182;1093;
183;1102;
184;1098;
185;1094;
186;1089;
187;1094;
188;1089;
189;1082;
190;1082;
191;1081;
192;1070;
193;1065;
194;1063;
195;1071;
196;1065;
197;1069;
198;1073;
199;1073;
200;1073;
201;1064;
202;1073;
203;1084;
204;1087;
205;1082;
206;1079;
207;1083;
208;1085;
209;1075;
210;1078;
211;1072;
212;1070;
213;1060;
214;1066;
215;1075;
216;1069;
217;1068;
218;1067;
219;1065;
220;1059;
221;1069;
222;1067;
223;1064;
224;1067;
225;1074;
226;1071;
227;1082;
228;1078;
229;1080;
230;1073;
231;1081;
232;1085;
233;1076;
234;1067;
235;1073;
236;1067;
237;1061;
238;1060;
239;1049;
240;1053;
241;1045;
242;1052;
243;1045;
244;1036;
245;1043;
246;1033;
247;1040;
248;1049;
249;1054;
250;1050;
251;1040;
252;1032;
253;1032;
254;1036;
255;1038;
256;1044;
257;1052;
258;1062;
259;1062;
260;1051;
261;1055;
262;1045;
263;1038;
264;1033;
265;1025;
266;1026;
267;1016;
268;1015;
269;1015;
270;1008;
271;1003;
272;998;
273;996;
274;989;
275;982;
276;976;
277;984;
278;980;
279;979;
280;974;
281;965;
282;969;
283;959;
284;966;
285;964;
286;974;
287;973;
288;970;
289;969;
290;972;
291;972;
292;964;
293;965;
294;966;
295;962;
296;968;
297;978;
298;986;
299;993;
300;1004;
301;1000;
