#Handeltag;Investor;NoiseTrader;BlankoAgent;Investor->NoiseTrader;NoiseTrader->Investor;TotalChanges;
0;12;7;81;0;0;0;
1;12;7;81;0;0;0;
2;12;7;81;0;0;0;
3;12;7;81;0;0;0;
4;12;7;81;0;0;0;
5;12;7;81;0;0;0;
6;12;7;81;0;0;0;
7;12;7;81;0;0;0;
8;12;7;81;0;0;0;
9;12;7;81;0;0;0;
10;12;7;81;0;0;0;
11;12;7;81;0;0;0;
12;12;7;81;0;0;0;
13;12;7;81;0;0;0;
14;12;7;81;0;0;0;
15;12;7;81;0;0;0;
16;12;7;81;0;0;0;
17;12;7;81;0;0;0;
18;12;7;81;0;0;0;
19;12;7;81;0;0;0;
20;12;7;81;0;0;0;
21;12;7;81;0;0;0;
22;12;7;81;0;0;0;
23;12;7;81;0;0;0;
24;12;7;81;0;0;0;
25;12;7;81;0;0;0;
26;12;7;81;0;0;0;
27;12;7;81;0;0;0;
28;12;7;81;0;0;0;
29;12;7;81;0;0;0;
30;12;7;81;0;0;0;
31;12;7;81;0;0;0;
32;12;7;81;0;0;0;
33;12;7;81;0;0;0;
34;12;7;81;0;0;0;
35;12;7;81;0;0;0;
36;12;7;81;0;0;0;
37;12;7;81;0;0;0;
38;12;7;81;0;0;0;
39;12;7;81;0;0;0;
40;12;7;81;0;0;0;
41;12;7;81;0;0;0;
42;12;7;81;0;0;0;
43;12;7;81;0;0;0;
44;12;7;81;0;0;0;
45;12;7;81;0;0;0;
46;12;7;81;0;0;0;
47;12;7;81;0;0;0;
48;12;7;81;0;0;0;
49;12;7;81;0;0;0;
50;12;7;81;0;0;0;
51;12;7;81;0;0;0;
52;12;7;81;0;0;0;
53;12;7;81;0;0;0;
54;12;7;81;0;0;0;
55;12;7;81;0;0;0;
56;12;7;81;0;0;0;
57;12;7;81;0;0;0;
58;12;7;81;0;0;0;
59;12;7;81;0;0;0;
60;12;7;81;0;0;0;
61;12;7;81;0;0;0;
62;12;7;81;0;0;0;
63;12;7;81;0;0;0;
64;12;7;81;0;0;0;
65;12;7;81;0;0;0;
66;12;7;81;0;0;0;
67;12;7;81;0;0;0;
68;12;7;81;0;0;0;
69;12;7;81;0;0;0;
70;12;7;81;0;0;0;
71;12;7;81;0;0;0;
72;12;7;81;0;0;0;
73;12;7;81;0;0;0;
74;12;7;81;0;0;0;
75;12;7;81;0;0;0;
76;12;7;81;0;0;0;
77;12;7;81;0;0;0;
78;12;7;81;0;0;0;
79;12;7;81;0;0;0;
80;12;7;81;0;0;0;
81;12;7;81;0;0;0;
82;12;7;81;0;0;0;
83;12;7;81;0;0;0;
84;12;7;81;0;0;0;
85;12;7;81;0;0;0;
86;12;7;81;0;0;0;
87;12;7;81;0;0;0;
88;12;7;81;0;0;0;
89;12;7;81;0;0;0;
90;12;7;81;0;0;0;
91;12;7;81;0;0;0;
92;12;7;81;0;0;0;
93;12;7;81;0;0;0;
94;12;7;81;0;0;0;
95;12;7;81;0;0;0;
96;12;7;81;0;0;0;
97;12;7;81;0;0;0;
98;12;7;81;0;0;0;
99;12;7;81;0;0;0;
100;12;7;81;0;0;0;
101;12;7;81;0;0;0;
102;12;7;81;0;0;0;
103;12;7;81;0;0;0;
104;12;7;81;0;0;0;
105;12;7;81;0;0;0;
106;12;7;81;0;0;0;
107;12;7;81;0;0;0;
108;12;7;81;0;0;0;
109;12;7;81;0;0;0;
110;12;7;81;0;0;0;
111;12;7;81;0;0;0;
112;12;7;81;0;0;0;
113;12;7;81;0;0;0;
114;12;7;81;0;0;0;
115;12;7;81;0;0;0;
116;12;7;81;0;0;0;
117;12;7;81;0;0;0;
118;12;7;81;0;0;0;
119;12;7;81;0;0;0;
120;12;7;81;0;0;0;
121;12;7;81;0;0;0;
122;12;7;81;0;0;0;
123;12;7;81;0;0;0;
124;12;7;81;0;0;0;
125;12;7;81;0;0;0;
126;12;7;81;0;0;0;
127;12;7;81;0;0;0;
128;12;7;81;0;0;0;
129;12;7;81;0;0;0;
130;12;7;81;0;0;0;
131;12;7;81;0;0;0;
132;12;7;81;0;0;0;
133;12;7;81;0;0;0;
134;12;7;81;0;0;0;
135;12;7;81;0;0;0;
136;12;7;81;0;0;0;
137;12;7;81;0;0;0;
138;12;7;81;0;0;0;
139;12;7;81;0;0;0;
140;12;7;81;0;0;0;
141;12;7;81;0;0;0;
142;12;7;81;0;0;0;
143;12;7;81;0;0;0;
144;12;7;81;0;0;0;
145;12;7;81;0;0;0;
146;12;7;81;0;0;0;
147;12;7;81;0;0;0;
148;12;7;81;0;0;0;
149;12;7;81;0;0;0;
150;12;7;81;0;0;0;
151;12;7;81;0;0;0;
152;12;7;81;0;0;0;
153;12;7;81;0;0;0;
154;12;7;81;0;0;0;
155;12;7;81;0;0;0;
156;12;7;81;0;0;0;
157;12;7;81;0;0;0;
158;12;7;81;0;0;0;
