#-1)Kurszusatz  G: Geld, Kauf>Verkauf; B: Brief, Kauf < Verkauf; b: bezahlt, Kauf=Verkauf; T: Taxe, kein Buy/Sell Order
#-2)Auftragtyp  B: Kauf,  S:Verkauf,  N:Wart  M: Mixed Order,  Order contains Buy and Sell Wish, it is created by Investor  
#-3)Limit=-1, -1 hat spezielle Bedeutung: billigsten Kauf bzw. Besten Verkauf
#-4)GewinnStatus *:Balance +:Gewinn -:Verlust 
#-5) Achtung: 
#-5) Wenn ReferenzTag = 0,  GewinnStatus ist jeden Tag gegen InitDepot ausgewertet.
#-6) Wenn ReferenzTag > 0,  GewinnStatus ist jeden Tag gegen Depot vor  X Tagen ausgewertet.
#-7) Investor BuyLimit  = IndividuellInnererWert * ( 1 - AbschlagProzent ) 
     Investor SellLimit = IndividuellInnererWert * ( 1 + AbschlagProzent ) 
#-8) Investor: Maximal Abweichung zu System InnererWert 5.0
     Investor: Minimal Abweichung zu System InnererWert -5.0
#-9) Investor: Eingesetztes Potenzial = PotenzialBase * ProzentialCounter  
     - Wenn ProzentialCounter Minus Wert ist, dann ist das Potenzial auch ein Minus Wert.
     - Wenn ProzentialCounter Plus Wert ist,  dann ist das Potenzial auch ein Plus Wert.
     - PotenzialProzent ist ein Parameter.
     - PotenzialBase wird nur bei (PozentialCounter=0) and (KursÄnderung ist größer als Threshold) berechnet, PotenzialBase = AktuellerSystemInnererWert * 0.2 * PotenuialProcent 
     - PotenzialProzent ist ein Parameter.
#-10) Investor Individuell InnererWert= SystemInnererWert + ZufallAbweichung + Potenzial 
      ZufallAbweichung kann minus/plus sein. 

Name;Tag;Type;AktienAnzahl;Cash;Depot;RelativGewinn;RelativeGewinnProzent;AbsoluteGewinn;AbsoluteGewinnProzent;Order;Menge;Limit;Kurs;Kurszusatz;PerformedMenge;
RandomTrader1;0000;RandomTrader;89999996;90003980;89640000000;0;0,00;-450000000;-0,4995;S;4;-1;995;B;4;
RandomTrader1;0001;RandomTrader;89999994;90005962;89280000016;0;0,00;-809999984;-0,8991;S;2;-1;991;B;2;
RandomTrader1;0002;RandomTrader;89999986;90013826;88560000064;0;0,00;-1529999936;-1,6983;S;8;-1;983;G;8;
RandomTrader1;0003;RandomTrader;89999991;90008866;89369999938;0;0,00;-720000062;-0,7992;B;5;992;992;B;5;
RandomTrader1;0004;RandomTrader;89999983;90016882;90269999848;0;0,00;179999848;0,1998;S;8;982;1002;G;8;
RandomTrader1;0005;RandomTrader;89999983;90016882;91529999610;0;0,00;1439999610;1,5984;B;2;1012;1016;B;0;
RandomTrader1;0006;RandomTrader;89999977;90022954;91169999678;0;0,00;1079999678;1,1988;S;6;1005;1012;G;6;
RandomTrader1;0007;RandomTrader;89999984;90015891;90899999747;0;0,00;809999747;0,8991;B;7;-1;1009;B;7;
RandomTrader1;0008;RandomTrader;89999978;90021921;90539999811;0;0,00;449999811;0,4995;S;6;-1;1005;G;6;
RandomTrader1;0009;RandomTrader;89999976;90023921;90089999921;0;0,00;-79;-0,00;S;2;-1;1000;G;2;
RandomTrader1;0010;RandomTrader;89999968;90031833;89100000185;0;0,00;-989999815;-1,0989;S;8;-1;989;B;8;
RandomTrader1;0011;RandomTrader;89999974;90025833;90089999833;0;0,00;-167;-0,00;B;6;-1;1000;B;6;
RandomTrader1;0012;RandomTrader;89999982;90017841;89999999859;0;0,00;-90000141;-0,0999;B;8;-1;999;G;8;
RandomTrader1;0013;RandomTrader;89999979;90020859;90629999733;0;0,00;539999733;0,5994;S;3;-1;1006;B;3;
RandomTrader1;0014;RandomTrader;89999977;90022885;91259999586;0;0,00;1169999586;1,2987;S;2;-1;1013;B;2;
RandomTrader1;0015;RandomTrader;89999972;90027975;91709999471;0;0,00;1619999471;1,7982;S;5;-1;1018;G;5;
RandomTrader1;0016;RandomTrader;89999972;90027975;92339999275;0;0,00;2249999275;2,4975;S;7;1028;1025;G;0;
RandomTrader1;0017;RandomTrader;89999975;90024903;92249999303;0;0,00;2159999303;2,3976;B;3;-1;1024;B;3;
RandomTrader1;0018;RandomTrader;89999970;90030008;91979999378;0;0,00;1889999378;2,0979;S;6;1013;1021;B;5;
RandomTrader1;0019;RandomTrader;89999970;90030008;91169999648;1079999648;1,1988;1079999648;1,1988;B;8;1010;1012;G;0;
RandomTrader1;0020;RandomTrader;89999977;90022910;91349999588;1709999588;1,9076;1259999588;1,3986;B;8;1022;1014;G;7;
RandomTrader1;0021;RandomTrader;89999982;90017900;90269999864;989999848;1,1089;179999864;0,1998;B;5;-1;1002;B;5;
RandomTrader1;0022;RandomTrader;89999977;90022920;90449999828;1889999764;2,1341;359999828;0,3996;S;5;991;1004;b;5;
RandomTrader1;0023;RandomTrader;89999977;90022920;89550000058;180000120;0,2014;-539999942;-0,5994;S;6;1004;994;b;0;
RandomTrader1;0024;RandomTrader;89999977;90022920;89280000127;-989999721;-1,0967;-809999873;-0,8991;S;8;994;991;G;0;
RandomTrader1;0025;RandomTrader;89999982;90017920;90089999920;-1439999690;-1,5733;-80;-0,00;B;5;1000;1000;B;5;
RandomTrader1;0026;RandomTrader;89999988;90011932;89909999956;-1259999722;-1,382;-180000044;-0,1998;B;6;-1;998;B;6;
RandomTrader1;0027;RandomTrader;89999996;90004028;89010000076;-1889999671;-2,0792;-1079999924;-1,1988;B;8;988;988;B;8;
RandomTrader1;0028;RandomTrader;90000002;89998130;88560000096;-1979999715;-2,1869;-1529999904;-1,6983;B;6;-1;983;B;6;
RandomTrader1;0029;RandomTrader;89999998;90002110;89640000120;-449999801;-0,4995;-449999880;-0,4995;S;4;973;995;B;4;
RandomTrader1;0030;RandomTrader;89999995;90005086;89370000126;269999941;0,303;-719999874;-0,7992;S;3;-1;992;G;3;
RandomTrader1;0031;RandomTrader;89999993;90007082;89910000096;-179999737;-0,1998;-179999904;-0,1998;S;2;-1;998;G;2;
RandomTrader1;0032;RandomTrader;89999993;90007082;89910000096;-89999763;-0,10;-179999904;-0,1998;S;3;1007;998;b;0;
RandomTrader1;0033;RandomTrader;89999989;90011074;89910000096;-719999637;-0,7944;-179999904;-0,1998;S;4;-1;998;B;4;
RandomTrader1;0034;RandomTrader;89999991;90009100;88920000217;-2339999369;-2,5641;-1169999783;-1,2987;B;2;-1;987;G;2;
RandomTrader1;0035;RandomTrader;89999995;90005144;89100000199;-2609999272;-2,8459;-989999801;-1,0989;B;4;996;989;B;4;
RandomTrader1;0036;RandomTrader;89999991;90009064;88290000244;-4049999031;-4,386;-1799999756;-1,998;S;4;979;980;G;4;
RandomTrader1;0037;RandomTrader;89999995;90005112;89010000172;-3239999131;-3,5122;-1079999828;-1,1988;B;5;989;988;G;4;
RandomTrader1;0038;RandomTrader;89999995;90005112;89640000137;-2339999241;-2,544;-449999863;-0,4995;S;7;997;995;B;0;
RandomTrader1;0039;RandomTrader;89999994;90006113;90180000107;-989999541;-1,0859;90000107;0,0999;S;2;985;1001;B;1;
RandomTrader1;0040;RandomTrader;89999989;90011078;89460000155;-1889999433;-2,069;-629999845;-0,6993;S;5;990;993;G;5;
RandomTrader1;0041;RandomTrader;89999996;90004085;90000000089;-269999775;-0,2991;-89999911;-0,0999;B;7;1002;999;G;7;
RandomTrader1;0042;RandomTrader;90000000;90000121;89280000121;-1169999707;-1,2935;-809999879;-0,8991;B;4;-1;991;b;4;
RandomTrader1;0043;RandomTrader;89999993;90007058;89280000121;-269999937;-0,3015;-809999879;-0,8991;S;7;-1;991;B;7;
RandomTrader1;0044;RandomTrader;89999998;90002153;88380000191;-899999936;-1,0081;-1709999809;-1,8981;B;5;-1;981;B;5;
RandomTrader1;0045;RandomTrader;89999998;90002153;88380000191;-1709999729;-1,8981;-1709999809;-1,8981;B;2;971;981;B;0;
RandomTrader1;0046;RandomTrader;89999998;90002153;88020000199;-1889999757;-2,1021;-2069999801;-2,2977;B;8;971;977;B;0;
RandomTrader1;0047;RandomTrader;89999998;90002153;88200000195;-809999881;-0,91;-1889999805;-2,0979;B;4;967;979;G;0;
RandomTrader1;0048;RandomTrader;90000002;89998177;89550000165;990000069;1,1179;-539999835;-0,5994;B;4;-1;994;G;4;
RandomTrader1;0049;RandomTrader;90000002;89998177;89820000171;180000051;0,2008;-269999829;-0,2997;S;5;1003;997;B;0;
RandomTrader1;0050;RandomTrader;90000000;90000151;88920000151;-449999975;-0,5035;-1169999849;-1,2987;S;2;987;987;B;2;
RandomTrader1;0051;RandomTrader;90000000;90000151;88650000151;-1259999945;-1,4014;-1439999849;-1,5984;B;2;977;984;B;0;
RandomTrader1;0052;RandomTrader;89999994;90006067;88830000151;-1079999945;-1,2012;-1259999849;-1,3986;S;6;974;986;B;6;
RandomTrader1;0053;RandomTrader;89999992;90008033;88560000169;-1349999927;-1,5015;-1529999831;-1,6983;S;2;976;983;G;2;
RandomTrader1;0054;RandomTrader;89999992;90008033;89190000113;269999896;0,3036;-899999887;-0,999;S;3;992;990;B;0;
RandomTrader1;0055;RandomTrader;90000000;90000169;88560000169;-540000030;-0,6061;-1529999831;-1,6983;B;8;-1;983;G;8;
RandomTrader1;0056;RandomTrader;89999993;90007120;89460000169;1169999925;1,3252;-629999831;-0,6993;S;7;992;993;G;7;
RandomTrader1;0057;RandomTrader;89999987;90013066;89280000183;270000011;0,3033;-809999817;-0,8991;S;6;-1;991;B;6;
RandomTrader1;0058;RandomTrader;89999982;90018041;89640000131;-6;-0,00;-449999869;-0,4995;S;5;981;995;G;5;
RandomTrader1;0059;RandomTrader;89999990;90010057;89910000077;-270000030;-0,2994;-179999923;-0,1998;B;8;1004;998;B;8;
RandomTrader1;0060;RandomTrader;89999985;90015057;90090000057;629999902;0,7042;57;0,00;S;5;-1;1000;G;5;
RandomTrader1;0061;RandomTrader;89999991;90009033;90449999997;449999908;0,50;359999997;0,3996;B;6;1010;1004;G;6;
RandomTrader1;0062;RandomTrader;89999995;90005025;90270000015;989999894;1,1089;180000015;0,1998;B;4;-1;1002;B;4;
RandomTrader1;0063;RandomTrader;89999989;90011025;90090000025;809999904;0,9073;25;0,00;S;6;-1;1000;G;6;
RandomTrader1;0064;RandomTrader;89999989;90011025;90449999981;2069999790;2,3422;359999981;0,3996;S;7;1010;1004;G;0;
RandomTrader1;0065;RandomTrader;89999992;90007959;92069999783;3689999592;4,1752;1979999783;2,1978;B;3;-1;1022;B;3;
RandomTrader1;0066;RandomTrader;89999994;90005939;90989999879;2969999680;3,3742;899999879;0,999;B;2;-1;1010;G;2;
RandomTrader1;0067;RandomTrader;89999994;90005939;90809999891;2609999696;2,9592;719999891;0,7992;S;4;1020;1008;B;0;
