Tao;Autokovarinz;Autokorrelation;
0;0,00;1,00;
1;0,00;0,027;
2;0,00;0,0158;
3;-0,00;-0,0656;
4;0,00;0,0473;
5;0,00;0,0529;
6;-0,00;-0,0419;
7;-0,00;-0,0224;
8;-0,00;-0,0901;
9;-0,00;-0,0279;
10;-0,00;-0,0309;
11;0,00;0,0537;
12;-0,00;-0,0659;
13;-0,00;-0,0748;
14;-0,00;-0,0827;
15;0,00;0,0382;
16;0,00;0,1284;
17;0,00;0,0146;
18;-0,00;-0,0462;
19;0,00;0,027;
20;-0,00;-0,0735;
21;0,00;0,0075;
22;0,00;0,0272;
23;0,00;0,0854;
24;-0,00;-0,0029;
25;0,00;0,0148;
26;-0,00;-0,06;
27;-0,00;-0,0197;
28;0,00;0,0633;
29;-0,00;-0,0046;
30;-0,00;-0,03;
31;-0,00;-0,0458;
32;0,00;0,0868;
33;0,00;0,0317;
34;0,00;0,0169;
35;0,00;0,0008;
36;0,00;0,0178;
37;0,00;0,0222;
38;0,00;0,0726;
39;0,00;0,0589;
