
test result for SPSS tool

Volatility

Runs;sw50p0175.mat;
RUN-1;52,6906;
RUN-2;62,9878;


Distortion

Runs;sw50p0175.mat;
RUN-1;0,9586;
RUN-2;0,8864;


Kurtosis

Runs;sw50p0175.mat;
RUN-1;-0,1522;
RUN-2;0,2164;


Skewness

Runs;sw50p0175.mat;
RUN-1;0,1363;
RUN-2;0,0923;


Standard_Deviation

Runs;sw50p0175.mat;
RUN-1;0,0073;
RUN-2;0,0079;


Hill_Estimator

Runs;sw50p0175.mat;
RUN-1;14,9705;
RUN-2;10,1810;


Correlation1

Runs;sw50p0175.mat;
RUN-1;0,1380;
RUN-2;0,1389;


Correlation2

Runs;sw50p0175.mat;
RUN-1;0,1452;
RUN-2;0,1616;


TypeChangeIndicator

Runs;sw50p0175.mat;
RUN-1;68,0000;
RUN-2;0,0000;


